,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
二階堂 亜樹,5.0,64.0,40.2,2.2,1.0,3.0,0.0,1.0,0.2,0.8,0.8,32900.0,6422.22,0.14,0.25,0.14,0.07,6240.0,EX
勝又 健志,8.0,101.0,-50.4,2.75,1.0,2.0,3.0,2.0,0.12,0.37,0.75,63700.0,8857.14,0.16,0.28,0.13,0.11,4216.66,EX
松ヶ瀬 隆弥,2.0,25.0,31.1,2.0,1.0,0.0,1.0,0.0,0.5,0.5,1.0,33800.0,5300.0,0.12,0.24,0.16,0.08,2300.0,EX
二階堂 瑠美,1.0,12.0,-45.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15000.0,12000.0,0.08,0.16,0.08,0.16,5000.0,EX
内川 幸太郎,4.0,49.0,8.0,2.25,1.0,2.0,0.0,1.0,0.25,0.75,0.75,34700.0,5483.33,0.24,0.12,0.24,0.1,5980.0,sakura
岡田 紗佳,3.0,37.0,136.2,1.33,2.0,1.0,0.0,0.0,0.66,1.0,1.0,49800.0,5750.0,0.29,0.18,0.32,0.13,3620.0,sakura
沢崎 誠,4.0,52.0,-142.5,3.5,0.0,1.0,0.0,3.0,0.0,0.25,0.25,32900.0,6560.0,0.23,0.15,0.09,0.17,4122.22,sakura
堀 慎吾,5.0,64.0,158.3,2.0,3.0,0.0,1.0,1.0,0.6,0.6,0.8,59900.0,8473.33,0.18,0.21,0.23,0.07,5780.0,sakura
滝沢 和典,5.0,60.0,-20.3,2.6,1.0,1.0,2.0,1.0,0.2,0.4,0.8,36100.0,4218.18,0.26,0.18,0.18,0.1,5150.0,konami
佐々木 寿人,5.0,71.0,4.5,2.6,1.0,1.0,2.0,1.0,0.2,0.4,0.8,69900.0,8583.33,0.21,0.23,0.16,0.07,4260.0,konami
高宮 まり,3.0,42.0,-12.7,2.33,0.0,2.0,1.0,0.0,0.0,0.66,1.0,23800.0,4457.14,0.21,0.23,0.16,0.04,3250.0,konami
伊達 朱里紗,3.0,38.0,88.9,2.0,2.0,0.0,0.0,1.0,0.66,0.66,0.66,60000.0,6522.22,0.26,0.18,0.23,0.1,5675.0,konami
多井 隆晴,5.0,69.0,-148.9,3.0,0.0,2.0,1.0,2.0,0.0,0.4,0.6,27300.0,6685.71,0.21,0.11,0.1,0.13,6355.55,abemas
白鳥 翔,4.0,45.0,117.0,1.5,2.0,2.0,0.0,0.0,0.5,1.0,1.0,34900.0,5318.18,0.15,0.22,0.24,0.06,3133.33,abemas
松本 吉弘,4.0,53.0,-15.5,2.62,0.0,2.0,1.0,1.0,0.0,0.5,0.75,40700.0,8142.85,0.13,0.22,0.13,0.11,4500.0,abemas
日向 藍子,3.0,39.0,7.2,2.33,1.0,1.0,0.0,1.0,0.33,0.66,0.66,34200.0,6700.0,0.12,0.1,0.17,0.1,5875.0,abemas
魚谷 侑未,4.0,57.0,18.1,2.25,1.0,1.0,2.0,0.0,0.25,0.5,1.0,48500.0,6842.85,0.21,0.19,0.24,0.08,7220.0,sega_summy
近藤 誠一,5.0,59.0,87.0,2.1,1.0,2.0,2.0,0.0,0.2,0.6,1.0,45400.0,6507.14,0.32,0.15,0.23,0.01,3900.0,sega_summy
茅森 早香,5.0,66.0,-83.3,2.8,0.0,2.0,2.0,1.0,0.0,0.4,0.8,32500.0,5709.09,0.18,0.18,0.16,0.13,5844.44,sega_summy
東城 りお,2.0,23.0,6.3,2.5,1.0,0.0,0.0,1.0,0.5,0.5,0.5,33400.0,5250.0,0.17,0.26,0.17,0.13,6233.33,sega_summy
小林 剛,6.0,79.0,123.2,2.0,3.0,0.0,3.0,0.0,0.5,0.5,1.0,62400.0,6210.0,0.31,0.21,0.25,0.1,5875.0,u-next
朝倉 康心,3.0,35.0,-90.0,3.33,0.0,0.0,2.0,1.0,0.0,0.0,0.66,25600.0,6842.85,0.37,0.2,0.2,0.05,6600.0,u-next
石橋 伸洋,4.0,49.0,-68.5,3.0,1.0,0.0,1.0,2.0,0.25,0.25,0.5,31400.0,6688.88,0.24,0.24,0.18,0.12,8933.33,u-next
瑞原 明奈,3.0,39.0,-148.9,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,16300.0,6760.0,0.17,0.15,0.12,0.17,5985.71,u-next
