,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,25.0,293.0,-17.3,2.48,4.0,9.0,8.0,4.0,0.16,0.52,0.84,60300.0,6473.01,0.35,0.23,0.21,0.08,6511.53,drivens
村上 淳,22.0,258.0,-394.8,2.86,4.0,3.0,7.0,8.0,0.18,0.31,0.63,68600.0,7073.52,0.15,0.23,0.13,0.14,5513.15,drivens
鈴木 たろう,26.0,320.0,120.2,2.38,9.0,5.0,5.0,7.0,0.34,0.53,0.73,56400.0,6688.05,0.26,0.19,0.2,0.11,5963.15,drivens
丸山 奏子,11.0,122.0,61.3,2.45,4.0,1.0,3.0,3.0,0.36,0.45,0.72,60500.0,5726.66,0.26,0.2,0.24,0.1,5153.84,drivens
二階堂 亜樹,21.0,278.0,49.4,2.38,4.0,10.0,2.0,5.0,0.19,0.66,0.76,53800.0,7301.72,0.15,0.24,0.2,0.11,5596.77,EX
勝又 健志,20.0,255.0,151.6,2.25,8.0,3.0,5.0,4.0,0.4,0.55,0.8,50500.0,6926.53,0.26,0.17,0.19,0.1,5546.42,EX
松ヶ瀬 隆弥,26.0,301.0,295.1,2.3,9.0,6.0,5.0,6.0,0.34,0.57,0.76,62300.0,6994.11,0.17,0.23,0.22,0.1,4790.62,EX
二階堂 瑠美,17.0,209.0,-279.8,2.91,3.0,3.0,3.0,8.0,0.17,0.35,0.52,66700.0,6822.22,0.18,0.18,0.17,0.12,6122.22,EX
内川 幸太郎,18.0,222.0,-139.7,2.72,5.0,1.0,6.0,6.0,0.27,0.33,0.66,48500.0,6769.44,0.15,0.2,0.16,0.11,5344.0,sakura
岡田 紗佳,16.0,178.0,-261.8,2.9,1.0,5.0,4.0,6.0,0.06,0.37,0.62,50500.0,5938.88,0.17,0.21,0.2,0.13,6416.66,sakura
沢崎 誠,23.0,287.0,341.6,2.08,8.0,8.0,4.0,3.0,0.34,0.69,0.86,48900.0,6005.17,0.22,0.17,0.2,0.05,5568.75,sakura
堀 慎吾,27.0,309.0,237.9,2.24,7.0,8.0,10.0,2.0,0.25,0.55,0.92,61800.0,6325.0,0.24,0.19,0.23,0.09,6166.66,sakura
滝沢 和典,22.0,270.0,279.0,2.18,8.0,7.0,2.0,5.0,0.36,0.68,0.77,62600.0,7358.62,0.14,0.18,0.21,0.09,5630.76,konami
佐々木 寿人,23.0,281.0,-206.1,2.82,6.0,3.0,3.0,11.0,0.26,0.39,0.52,60200.0,7417.07,0.16,0.24,0.14,0.1,5313.33,konami
高宮 まり,19.0,244.0,-213.7,2.81,4.0,1.0,8.0,6.0,0.21,0.26,0.68,64500.0,6304.16,0.18,0.17,0.19,0.1,6534.61,konami
伊達 朱里紗,20.0,250.0,319.4,2.2,8.0,4.0,4.0,4.0,0.4,0.6,0.8,105500.0,7022.41,0.25,0.24,0.23,0.1,5392.0,konami
多井 隆晴,24.0,287.0,189.5,2.2,5.0,10.0,8.0,1.0,0.2,0.62,0.95,51900.0,6281.35,0.2,0.2,0.2,0.06,5661.11,abemas
白鳥 翔,21.0,256.0,54.6,2.38,5.0,5.0,9.0,2.0,0.23,0.47,0.9,49700.0,6643.75,0.22,0.18,0.18,0.09,5604.16,abemas
松本 吉弘,23.0,275.0,158.8,2.34,6.0,8.0,4.0,5.0,0.26,0.6,0.78,80200.0,7018.46,0.21,0.2,0.23,0.07,6233.33,abemas
日向 藍子,16.0,183.0,-142.0,2.68,3.0,2.0,8.0,3.0,0.18,0.31,0.81,51300.0,6259.37,0.16,0.22,0.17,0.08,5812.5,abemas
魚谷 侑未,23.0,264.0,-27.6,2.56,6.0,4.0,7.0,6.0,0.26,0.43,0.73,58800.0,6540.35,0.24,0.16,0.21,0.09,6429.16,sega_summy
近藤 誠一,21.0,252.0,-79.0,2.61,5.0,4.0,6.0,6.0,0.23,0.42,0.71,57200.0,7469.23,0.17,0.15,0.15,0.1,5229.62,sega_summy
茅森 早香,25.0,330.0,267.3,2.2,8.0,9.0,3.0,5.0,0.32,0.68,0.8,62100.0,8176.92,0.19,0.26,0.19,0.12,5453.65,sega_summy
東城 りお,15.0,178.0,107.7,2.4,5.0,2.0,5.0,3.0,0.33,0.46,0.8,77200.0,6513.33,0.2,0.23,0.25,0.14,4712.0,sega_summy
萩原 聖人,20.0,241.0,-350.9,2.95,1.0,5.0,8.0,6.0,0.05,0.3,0.7,44700.0,7442.85,0.12,0.29,0.14,0.09,5245.83,raiden
瀬戸熊 直樹,20.0,241.0,-351.8,2.95,3.0,4.0,4.0,9.0,0.15,0.35,0.55,48400.0,6979.41,0.14,0.26,0.14,0.16,4907.69,raiden
黒沢 咲,22.0,280.0,-199.8,2.72,5.0,5.0,3.0,9.0,0.22,0.45,0.59,53500.0,6663.26,0.07,0.23,0.17,0.11,5183.87,raiden
本田 朋広,22.0,270.0,-302.2,2.79,2.0,6.0,8.0,6.0,0.09,0.36,0.72,47400.0,6207.14,0.2,0.21,0.15,0.11,5422.58,raiden
小林 剛,27.0,332.0,110.5,2.42,6.0,8.0,8.0,5.0,0.22,0.51,0.81,54200.0,6100.0,0.33,0.17,0.22,0.09,5316.12,u-next
朝倉 康心,21.0,268.0,70.0,2.47,6.0,6.0,2.0,7.0,0.28,0.57,0.66,102400.0,6088.88,0.25,0.23,0.23,0.09,7080.76,u-next
石橋 伸洋,16.0,191.0,-295.3,2.93,2.0,2.0,7.0,5.0,0.12,0.25,0.68,58600.0,6145.45,0.24,0.19,0.17,0.1,6125.0,u-next
瑞原 明奈,20.0,227.0,427.9,1.9,7.0,10.0,1.0,2.0,0.35,0.85,0.9,66100.0,6190.16,0.19,0.29,0.26,0.05,4169.23,u-next
