,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,4.0,48.0,-10.0,2.5,0.0,2.0,2.0,0.0,0.0,0.5,1.0,36300.0,3654.54,0.43,0.14,0.22,0.08,7200.0,drivens
村上 淳,3.0,32.0,-177.6,3.66,0.0,0.0,1.0,2.0,0.0,0.0,0.33,10600.0,8600.0,0.21,0.31,0.06,0.25,8150.0,drivens
鈴木 たろう,3.0,31.0,96.0,1.66,2.0,0.0,1.0,0.0,0.66,0.66,1.0,40000.0,6637.5,0.19,0.12,0.25,0.06,8000.0,drivens
丸山 奏子,2.0,18.0,27.6,2.0,1.0,0.0,1.0,0.0,0.5,0.5,1.0,34200.0,5625.0,0.33,0.22,0.22,0.22,3475.0,drivens
二階堂 亜樹,3.0,38.0,32.3,2.33,1.0,1.0,0.0,1.0,0.33,0.66,0.66,53000.0,6355.55,0.21,0.15,0.23,0.13,4600.0,EX
勝又 健志,3.0,36.0,41.7,2.0,1.0,1.0,1.0,0.0,0.33,0.66,1.0,37700.0,6125.0,0.36,0.11,0.22,0.05,1950.0,EX
松ヶ瀬 隆弥,5.0,54.0,147.4,1.8,3.0,1.0,0.0,1.0,0.6,0.8,0.8,48400.0,7441.66,0.11,0.29,0.22,0.07,3725.0,EX
二階堂 瑠美,1.0,13.0,-57.4,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2600.0,7350.0,0.0,0.15,0.15,0.23,8400.0,EX
内川 幸太郎,2.0,27.0,-41.7,3.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,29600.0,12000.0,0.14,0.11,0.03,0.07,2750.0,sakura
岡田 紗佳,3.0,29.0,-57.4,3.0,0.0,1.0,1.0,1.0,0.0,0.33,0.66,24900.0,5316.66,0.17,0.31,0.2,0.13,5150.0,sakura
沢崎 誠,3.0,37.0,83.4,2.0,2.0,0.0,0.0,1.0,0.66,0.66,0.66,48200.0,6160.0,0.18,0.21,0.27,0.08,5466.66,sakura
堀 慎吾,4.0,43.0,-33.4,2.75,1.0,0.0,2.0,1.0,0.25,0.25,0.75,43900.0,7950.0,0.2,0.13,0.18,0.18,6125.0,sakura
滝沢 和典,3.0,36.0,-41.7,2.66,0.0,1.0,2.0,0.0,0.0,0.33,1.0,33400.0,6228.57,0.02,0.25,0.19,0.16,3766.66,konami
佐々木 寿人,3.0,34.0,-17.2,3.0,1.0,0.0,0.0,2.0,0.33,0.33,0.33,56200.0,6100.0,0.11,0.26,0.17,0.08,3833.33,konami
高宮 まり,3.0,43.0,-15.2,2.66,1.0,0.0,1.0,1.0,0.33,0.33,0.66,45500.0,5688.88,0.16,0.23,0.2,0.09,6000.0,konami
伊達 朱里紗,3.0,33.0,44.3,2.0,1.0,1.0,1.0,0.0,0.33,0.66,1.0,40700.0,7371.42,0.27,0.27,0.21,0.15,5960.0,konami
多井 隆晴,3.0,36.0,6.1,2.33,1.0,0.0,2.0,0.0,0.33,0.33,1.0,33900.0,5800.0,0.11,0.25,0.11,0.11,3175.0,abemas
白鳥 翔,3.0,37.0,20.9,2.33,0.0,2.0,1.0,0.0,0.0,0.66,1.0,43500.0,6877.77,0.13,0.16,0.24,0.05,4350.0,abemas
松本 吉弘,3.0,32.0,37.3,2.0,1.0,1.0,1.0,0.0,0.33,0.66,1.0,35000.0,6087.5,0.25,0.15,0.25,0.09,7966.66,abemas
日向 藍子,3.0,30.0,-59.0,3.0,0.0,1.0,1.0,1.0,0.0,0.33,0.66,35400.0,4640.0,0.16,0.3,0.16,0.13,4875.0,abemas
魚谷 侑未,3.0,31.0,-19.1,2.66,1.0,0.0,1.0,1.0,0.33,0.33,0.66,38100.0,4628.57,0.12,0.22,0.22,0.16,7400.0,sega_summy
近藤 誠一,4.0,50.0,-58.1,2.75,0.0,2.0,1.0,1.0,0.0,0.5,0.75,38400.0,6983.33,0.16,0.16,0.12,0.1,4140.0,sega_summy
茅森 早香,3.0,34.0,20.5,2.33,1.0,1.0,0.0,1.0,0.33,0.66,0.66,52300.0,6800.0,0.11,0.35,0.2,0.05,10950.0,sega_summy
東城 りお,2.0,22.0,112.9,1.5,1.0,1.0,0.0,0.0,0.5,1.0,1.0,77200.0,7755.55,0.13,0.36,0.4,0.09,2100.0,sega_summy
萩原 聖人,3.0,37.0,27.4,2.33,1.0,1.0,0.0,1.0,0.33,0.66,0.66,38600.0,5744.44,0.21,0.24,0.24,0.08,5333.33,raiden
瀬戸熊 直樹,3.0,34.0,-30.5,3.0,1.0,0.0,0.0,2.0,0.33,0.33,0.33,41900.0,10666.66,0.11,0.23,0.08,0.14,5020.0,raiden
黒沢 咲,3.0,30.0,-20.5,2.66,1.0,0.0,1.0,1.0,0.33,0.33,0.66,30400.0,4942.85,0.13,0.16,0.23,0.1,7666.66,raiden
本田 朋広,3.0,33.0,-49.3,3.0,1.0,0.0,0.0,2.0,0.33,0.33,0.33,47400.0,9180.0,0.27,0.15,0.15,0.15,9000.0,raiden
小林 剛,3.0,33.0,-107.1,3.66,0.0,0.0,1.0,2.0,0.0,0.0,0.33,29000.0,9000.0,0.18,0.21,0.12,0.18,4966.66,u-next
朝倉 康心,4.0,56.0,68.5,2.0,1.0,2.0,1.0,0.0,0.25,0.75,1.0,44900.0,7220.0,0.26,0.26,0.17,0.05,4900.0,u-next
石橋 伸洋,2.0,24.0,-1.6,2.5,0.0,1.0,1.0,0.0,0.0,0.5,1.0,37500.0,5700.0,0.37,0.16,0.2,0.08,4350.0,u-next
瑞原 明奈,3.0,29.0,30.5,2.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,33300.0,3390.9,0.27,0.31,0.37,0.13,3300.0,u-next
