,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,23.0,272.0,-10.7,2.47,4.0,8.0,7.0,4.0,0.17,0.52,0.82,60300.0,6456.89,0.35,0.23,0.21,0.09,6692.0,drivens
村上 淳,20.0,228.0,-381.8,2.9,4.0,2.0,6.0,8.0,0.2,0.3,0.6,68600.0,6532.25,0.17,0.25,0.13,0.15,5745.71,drivens
鈴木 たろう,24.0,287.0,107.9,2.37,8.0,5.0,5.0,6.0,0.33,0.54,0.75,48200.0,6743.85,0.26,0.17,0.19,0.11,5412.12,drivens
丸山 奏子,11.0,122.0,61.3,2.45,4.0,1.0,3.0,3.0,0.36,0.45,0.72,60500.0,5726.66,0.26,0.2,0.24,0.1,5153.84,drivens
二階堂 亜樹,18.0,239.0,80.5,2.33,3.0,10.0,1.0,4.0,0.16,0.72,0.77,53800.0,7381.25,0.15,0.23,0.2,0.08,5471.42,EX
勝又 健志,20.0,255.0,151.6,2.25,8.0,3.0,5.0,4.0,0.4,0.55,0.8,50500.0,6926.53,0.26,0.17,0.19,0.1,5546.42,EX
松ヶ瀬 隆弥,24.0,282.0,364.9,2.2,9.0,6.0,4.0,5.0,0.37,0.62,0.79,62300.0,7054.54,0.18,0.23,0.23,0.1,4851.72,EX
二階堂 瑠美,16.0,198.0,-232.9,2.84,3.0,3.0,3.0,7.0,0.18,0.37,0.56,66700.0,6822.22,0.17,0.17,0.18,0.12,6240.0,EX
内川 幸太郎,18.0,222.0,-139.7,2.72,5.0,1.0,6.0,6.0,0.27,0.33,0.66,48500.0,6769.44,0.15,0.2,0.16,0.11,5344.0,sakura
岡田 紗佳,15.0,169.0,-209.9,2.83,1.0,5.0,4.0,5.0,0.06,0.4,0.66,50500.0,5938.88,0.18,0.22,0.21,0.13,6347.82,sakura
沢崎 誠,20.0,253.0,309.1,2.1,8.0,5.0,4.0,3.0,0.4,0.65,0.85,48900.0,6111.76,0.22,0.17,0.2,0.05,5406.66,sakura
堀 慎吾,25.0,286.0,201.2,2.25,6.0,8.0,9.0,2.0,0.24,0.56,0.92,61800.0,6097.01,0.25,0.18,0.23,0.09,6292.59,sakura
滝沢 和典,19.0,234.0,291.6,2.15,7.0,6.0,2.0,4.0,0.36,0.68,0.78,62600.0,7413.2,0.15,0.18,0.22,0.08,5595.23,konami
佐々木 寿人,22.0,266.0,-267.8,2.9,5.0,3.0,3.0,11.0,0.22,0.36,0.5,60200.0,7476.31,0.16,0.23,0.14,0.11,5313.33,konami
高宮 まり,18.0,223.0,-192.3,2.8,4.0,1.0,7.0,6.0,0.22,0.27,0.66,64500.0,6181.81,0.2,0.16,0.19,0.1,6782.6,konami
伊達 朱里紗,19.0,235.0,262.8,2.26,7.0,4.0,4.0,4.0,0.36,0.57,0.78,105500.0,7065.45,0.25,0.24,0.23,0.1,5392.0,konami
多井 隆晴,21.0,237.0,177.4,2.19,5.0,8.0,7.0,1.0,0.23,0.61,0.95,51900.0,6470.21,0.21,0.2,0.19,0.06,5266.66,abemas
