,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,26.0,298.0,125.2,2.38,8.0,5.0,8.0,5.0,0.3,0.5,0.8,55600.0,5785.29,0.29,0.21,0.22,0.1,5667.74,drivens
村上 淳,19.0,228.0,-277.2,2.73,1.0,7.0,7.0,4.0,0.05,0.42,0.78,38200.0,6238.7,0.19,0.25,0.13,0.09,4833.33,drivens
鈴木 たろう,21.0,285.0,-213.9,2.66,3.0,6.0,7.0,5.0,0.14,0.42,0.76,51600.0,6700.0,0.23,0.17,0.17,0.11,5668.75,drivens
丸山 奏子,10.0,126.0,-203.0,3.0,1.0,2.0,3.0,4.0,0.1,0.3,0.6,48600.0,8282.35,0.18,0.23,0.13,0.11,6000.0,drivens
二階堂 亜樹,19.0,238.0,-24.4,2.63,4.0,5.0,4.0,6.0,0.21,0.47,0.68,59500.0,6918.36,0.16,0.19,0.2,0.08,5338.09,EX
勝又 健志,19.0,232.0,271.1,2.05,6.0,7.0,5.0,1.0,0.31,0.68,0.94,61200.0,5848.27,0.16,0.2,0.25,0.08,5605.0,EX
松ヶ瀬 隆弥,20.0,247.0,169.6,2.25,7.0,6.0,2.0,5.0,0.35,0.65,0.75,51900.0,7212.5,0.17,0.19,0.19,0.09,5939.13,EX
二階堂 瑠美,18.0,212.0,135.7,2.44,7.0,2.0,3.0,6.0,0.38,0.5,0.66,73800.0,7127.08,0.17,0.21,0.22,0.12,5837.03,EX
内川 幸太郎,18.0,229.0,-38.5,2.58,5.0,3.0,5.0,5.0,0.27,0.44,0.72,59600.0,7370.58,0.25,0.23,0.14,0.1,5212.0,sakura
岡田 紗佳,13.0,152.0,-139.8,2.92,3.0,1.0,3.0,6.0,0.23,0.3,0.53,64100.0,7307.4,0.2,0.21,0.17,0.11,4233.33,sakura
堀 慎吾,23.0,271.0,24.0,2.56,7.0,4.0,4.0,8.0,0.3,0.47,0.65,60200.0,6518.33,0.24,0.18,0.22,0.12,5693.93,sakura
渋川 難波,20.0,253.0,-12.8,2.5,5.0,5.0,5.0,5.0,0.25,0.5,0.75,56700.0,7311.62,0.23,0.21,0.16,0.14,3870.27,sakura
滝沢 和典,18.0,223.0,-204.7,2.88,3.0,3.0,5.0,7.0,0.16,0.33,0.61,46200.0,6590.0,0.17,0.23,0.17,0.08,4980.0,konami
佐々木 寿人,20.0,244.0,94.9,2.4,6.0,5.0,4.0,5.0,0.3,0.55,0.75,75600.0,6303.7,0.21,0.27,0.22,0.09,5354.16,konami
高宮 まり,18.0,206.0,212.4,2.16,5.0,7.0,4.0,2.0,0.27,0.66,0.88,66400.0,7702.27,0.25,0.24,0.21,0.09,6035.0,konami
伊達 朱里紗,20.0,246.0,370.5,2.1,9.0,4.0,3.0,4.0,0.45,0.65,0.8,64300.0,8062.5,0.19,0.19,0.19,0.1,5180.0,konami
