,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,11.0,124.0,-24.5,2.54,2.0,3.0,4.0,2.0,0.18,0.45,0.81,44600.0,5368.0,0.33,0.24,0.2,0.08,7040.0,drivens
村上 淳,11.0,120.0,-325.0,3.09,2.0,1.0,2.0,6.0,0.18,0.27,0.45,45200.0,6240.0,0.15,0.25,0.12,0.18,7095.45,drivens
鈴木 たろう,10.0,116.0,98.8,2.2,4.0,2.0,2.0,2.0,0.4,0.6,0.8,47900.0,7631.81,0.17,0.18,0.18,0.12,5485.71,drivens
丸山 奏子,6.0,62.0,-0.2,2.5,2.0,1.0,1.0,2.0,0.33,0.5,0.66,35600.0,5585.71,0.27,0.22,0.22,0.12,5125.0,drivens
二階堂 亜樹,9.0,118.0,104.8,2.11,1.0,7.0,0.0,1.0,0.11,0.88,0.88,53000.0,7118.51,0.15,0.22,0.22,0.09,5363.63,EX
勝又 健志,10.0,132.0,264.4,1.8,6.0,1.0,2.0,1.0,0.6,0.7,0.9,50500.0,7258.06,0.31,0.18,0.23,0.11,5173.33,EX
松ヶ瀬 隆弥,10.0,114.0,151.7,2.2,4.0,2.0,2.0,2.0,0.4,0.6,0.8,60100.0,7400.0,0.15,0.23,0.22,0.12,4042.85,EX
二階堂 瑠美,9.0,111.0,-51.4,2.55,2.0,3.0,1.0,3.0,0.22,0.55,0.66,66700.0,6578.26,0.19,0.18,0.2,0.13,6753.33,EX
内川 幸太郎,8.0,98.0,-46.1,2.75,2.0,1.0,2.0,3.0,0.25,0.37,0.62,44300.0,8292.3,0.14,0.2,0.13,0.11,3800.0,sakura
岡田 紗佳,9.0,101.0,-186.0,2.94,0.0,3.0,3.0,3.0,0.0,0.33,0.66,33500.0,5822.72,0.2,0.26,0.21,0.15,6800.0,sakura
沢崎 誠,9.0,114.0,109.0,2.22,4.0,1.0,2.0,2.0,0.44,0.55,0.77,48200.0,6339.13,0.17,0.17,0.2,0.05,6450.0,sakura
堀 慎吾,12.0,137.0,159.6,2.12,3.0,5.0,3.0,1.0,0.25,0.66,0.91,61800.0,6590.32,0.21,0.17,0.22,0.08,5609.09,sakura
滝沢 和典,10.0,116.0,188.4,2.0,4.0,3.0,2.0,1.0,0.4,0.7,0.9,62600.0,7050.0,0.15,0.17,0.24,0.1,4650.0,konami
佐々木 寿人,10.0,125.0,1.5,2.7,4.0,0.0,1.0,5.0,0.4,0.4,0.5,60200.0,7025.0,0.15,0.2,0.16,0.07,3888.88,konami
高宮 まり,9.0,110.0,-150.1,2.94,2.0,0.0,3.0,4.0,0.22,0.22,0.55,52100.0,5642.85,0.2,0.19,0.19,0.1,7690.9,konami
伊達 朱里紗,9.0,118.0,285.9,1.88,4.0,2.0,3.0,0.0,0.44,0.66,1.0,105500.0,8212.9,0.27,0.24,0.26,0.12,4973.33,konami
多井 隆晴,9.0,98.0,10.6,2.44,2.0,2.0,4.0,1.0,0.22,0.44,0.88,51900.0,5550.0,0.19,0.25,0.2,0.09,4733.33,abemas
白鳥 翔,10.0,119.0,146.6,2.1,3.0,3.0,4.0,0.0,0.3,0.6,1.0,49700.0,7466.66,0.21,0.21,0.2,0.1,4091.66,abemas
松本 吉弘,11.0,129.0,126.0,2.18,3.0,5.0,1.0,2.0,0.27,0.72,0.81,47000.0,7336.66,0.19,0.17,0.23,0.05,5742.85,abemas
日向 藍子,8.0,88.0,-189.0,3.12,0.0,1.0,5.0,2.0,0.0,0.12,0.75,35400.0,5600.0,0.15,0.26,0.15,0.1,4588.88,abemas
魚谷 侑未,11.0,129.0,-12.2,2.54,3.0,1.0,5.0,2.0,0.27,0.36,0.81,44800.0,7053.84,0.22,0.18,0.2,0.11,6480.0,sega_summy
近藤 誠一,10.0,121.0,-24.3,2.6,2.0,3.0,2.0,3.0,0.2,0.5,0.7,57200.0,7420.0,0.15,0.18,0.16,0.11,5157.14,sega_summy
茅森 早香,10.0,130.0,-0.4,2.4,2.0,4.0,2.0,2.0,0.2,0.6,0.8,62100.0,8478.26,0.22,0.26,0.17,0.13,5877.77,sega_summy
東城 りお,7.0,84.0,-53.7,2.85,1.0,2.0,1.0,3.0,0.14,0.42,0.57,77200.0,6280.0,0.17,0.21,0.23,0.09,4150.0,sega_summy
萩原 聖人,9.0,112.0,-142.0,2.88,1.0,2.0,3.0,3.0,0.11,0.33,0.66,38600.0,6515.0,0.11,0.28,0.17,0.12,5335.71,raiden
瀬戸熊 直樹,10.0,113.0,-124.4,2.9,2.0,2.0,1.0,5.0,0.2,0.4,0.5,48400.0,6821.05,0.12,0.26,0.16,0.15,4970.58,raiden
黒沢 咲,9.0,113.0,-139.5,2.88,2.0,1.0,2.0,4.0,0.22,0.33,0.55,53500.0,6523.8,0.07,0.23,0.18,0.12,6871.42,raiden
本田 朋広,10.0,119.0,-152.1,2.85,1.0,2.0,4.0,3.0,0.1,0.3,0.7,47400.0,6947.05,0.22,0.15,0.14,0.12,5633.33,raiden
小林 剛,8.0,95.0,-106.1,2.87,1.0,1.0,4.0,2.0,0.12,0.25,0.75,40800.0,5883.33,0.25,0.22,0.18,0.11,5954.54,u-next
朝倉 康心,13.0,173.0,130.1,2.3,4.0,4.0,2.0,3.0,0.3,0.61,0.76,102400.0,6352.38,0.25,0.26,0.24,0.09,7356.25,u-next
石橋 伸洋,8.0,88.0,-49.9,2.62,1.0,2.0,4.0,1.0,0.12,0.37,0.87,58600.0,6231.57,0.29,0.17,0.21,0.09,6150.0,u-next
瑞原 明奈,9.0,97.0,-0.5,2.33,1.0,6.0,0.0,2.0,0.11,0.77,0.77,33300.0,4350.0,0.17,0.3,0.24,0.07,3771.42,u-next
