,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,2.0,19.0,-9.8,2.5,0.0,1.0,1.0,0.0,0.0,0.5,1.0,26700.0,2560.0,0.42,0.1,0.26,0.05,7700.0,drivens
村上 淳,1.0,10.0,-29.4,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10600.0,5200.0,0.2,0.5,0.1,0.1,3900.0,drivens
鈴木 たろう,1.0,11.0,60.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,40000.0,5625.0,0.27,0.09,0.36,0.0,0.0,drivens
丸山 奏子,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drivens
二階堂 亜樹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EX
勝又 健志,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EX
松ヶ瀬 隆弥,3.0,31.0,18.3,2.33,1.0,1.0,0.0,1.0,0.33,0.66,0.66,42600.0,9000.0,0.16,0.29,0.12,0.09,4300.0,EX
二階堂 瑠美,1.0,13.0,-57.4,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2600.0,7350.0,0.0,0.15,0.15,0.23,8400.0,EX
内川 幸太郎,1.0,11.0,9.6,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,29600.0,12000.0,0.27,0.0,0.09,0.09,2600.0,sakura
岡田 紗佳,1.0,9.0,-42.6,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17400.0,2000.0,0.11,0.33,0.11,0.0,0.0,sakura
沢崎 誠,1.0,13.0,68.2,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,48200.0,7666.66,0.3,0.15,0.23,0.0,0.0,sakura
堀 慎吾,1.0,11.0,-25.1,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14900.0,8000.0,0.0,0.18,0.09,0.18,4650.0,sakura
滝沢 和典,1.0,13.0,13.4,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,33400.0,8000.0,0.0,0.23,0.23,0.15,1950.0,konami
佐々木 寿人,1.0,11.0,-42.8,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17200.0,0.0,0.0,0.09,0.0,0.18,1750.0,konami
高宮 まり,1.0,11.0,-53.1,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6900.0,2900.0,0.09,0.36,0.09,0.18,5000.0,konami
伊達 朱里紗,1.0,13.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,26000.0,8400.0,0.38,0.23,0.23,0.15,7000.0,konami
多井 隆晴,1.0,10.0,-20.2,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,19800.0,5200.0,0.0,0.4,0.1,0.2,2450.0,abemas
白鳥 翔,1.0,10.0,14.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,34000.0,8900.0,0.0,0.3,0.2,0.0,0.0,abemas
松本 吉弘,1.0,9.0,53.1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,33100.0,3366.66,0.33,0.33,0.33,0.0,0.0,abemas
日向 藍子,1.0,11.0,15.4,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,35400.0,5733.33,0.09,0.45,0.27,0.18,3250.0,abemas
魚谷 侑未,2.0,21.0,42.0,2.0,1.0,0.0,1.0,0.0,0.5,0.5,1.0,38100.0,4628.57,0.14,0.33,0.33,0.09,7950.0,sega_summy
近藤 誠一,1.0,10.0,-52.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8000.0,2000.0,0.1,0.1,0.1,0.1,5800.0,sega_summy
茅森 早香,1.0,13.0,-61.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1000.0,6000.0,0.15,0.23,0.07,0.07,18000.0,sega_summy
東城 りお,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sega_summy
萩原 聖人,1.0,13.0,58.6,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,38600.0,4780.0,0.15,0.15,0.38,0.0,0.0,raiden
瀬戸熊 直樹,1.0,10.0,-44.6,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15400.0,0.0,0.2,0.1,0.0,0.1,2600.0,raiden
黒沢 咲,1.0,11.0,50.4,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,30400.0,4700.0,0.18,0.27,0.27,0.09,5800.0,raiden
本田 朋広,1.0,10.0,67.4,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,47400.0,8633.33,0.4,0.2,0.3,0.0,0.0,raiden
小林 剛,1.0,13.0,-11.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,29000.0,13000.0,0.15,0.15,0.15,0.07,8000.0,u-next
朝倉 康心,1.0,13.0,-16.8,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,23200.0,2000.0,0.3,0.23,0.15,0.0,0.0,u-next
石橋 伸洋,1.0,11.0,-19.1,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,20900.0,4200.0,0.45,0.18,0.27,0.09,2900.0,u-next
瑞原 明奈,1.0,11.0,8.5,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,28500.0,3060.0,0.18,0.36,0.45,0.27,3866.66,u-next
