,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,16.0,187.0,52.5,2.43,4.0,4.0,5.0,3.0,0.25,0.5,0.81,60300.0,6348.78,0.36,0.21,0.21,0.08,6900.0,drivens
村上 淳,15.0,166.0,-365.6,3.0,3.0,1.0,4.0,7.0,0.2,0.26,0.53,45200.0,6575.0,0.16,0.25,0.12,0.15,7076.0,drivens
鈴木 たろう,16.0,186.0,163.1,2.25,6.0,4.0,2.0,4.0,0.37,0.62,0.75,48200.0,6863.41,0.24,0.19,0.22,0.11,5463.63,drivens
丸山 奏子,9.0,95.0,12.2,2.55,3.0,1.0,2.0,3.0,0.33,0.44,0.66,60500.0,5943.47,0.27,0.21,0.24,0.11,5272.72,drivens
二階堂 亜樹,13.0,173.0,2.5,2.38,1.0,9.0,0.0,3.0,0.07,0.76,0.76,53000.0,6714.7,0.15,0.22,0.19,0.09,5306.25,EX
勝又 健志,14.0,183.0,73.0,2.28,6.0,1.0,4.0,3.0,0.42,0.5,0.78,50500.0,7114.28,0.29,0.18,0.19,0.12,5800.0,EX
松ヶ瀬 隆弥,17.0,189.0,188.8,2.29,6.0,4.0,3.0,4.0,0.35,0.58,0.76,60100.0,7257.14,0.13,0.24,0.22,0.11,4557.14,EX
二階堂 瑠美,12.0,148.0,-139.8,2.7,2.0,3.0,3.0,4.0,0.16,0.41,0.66,66700.0,7203.84,0.18,0.17,0.17,0.12,6494.73,EX
内川 幸太郎,13.0,163.0,-10.7,2.61,4.0,1.0,4.0,4.0,0.3,0.38,0.69,48500.0,7155.55,0.15,0.2,0.16,0.09,4280.0,sakura
岡田 紗佳,12.0,131.0,-310.9,3.12,0.0,3.0,4.0,5.0,0.0,0.25,0.58,33500.0,5430.76,0.19,0.23,0.19,0.14,6700.0,sakura
