,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,5.0,61.0,-62.7,2.8,0.0,2.0,2.0,1.0,0.0,0.4,0.8,36300.0,3654.54,0.36,0.18,0.18,0.06,7200.0,drivens
村上 淳,5.0,54.0,-316.0,3.8,0.0,0.0,1.0,4.0,0.0,0.0,0.2,10600.0,8600.0,0.18,0.29,0.03,0.29,7356.25,drivens
鈴木 たろう,5.0,56.0,-27.9,2.6,2.0,0.0,1.0,2.0,0.4,0.4,0.6,40000.0,6060.0,0.16,0.21,0.17,0.14,6812.5,drivens
丸山 奏子,3.0,29.0,83.2,1.66,2.0,0.0,1.0,0.0,0.66,0.66,1.0,35600.0,5100.0,0.34,0.2,0.24,0.13,3475.0,drivens
二階堂 亜樹,3.0,38.0,32.3,2.33,1.0,1.0,0.0,1.0,0.33,0.66,0.66,53000.0,6355.55,0.21,0.15,0.23,0.13,4600.0,EX
勝又 健志,5.0,56.0,164.2,1.6,3.0,1.0,1.0,0.0,0.6,0.8,1.0,48400.0,6358.33,0.33,0.14,0.21,0.03,1950.0,EX
松ヶ瀬 隆弥,6.0,67.0,127.1,2.0,3.0,1.0,1.0,1.0,0.5,0.66,0.83,48400.0,7086.66,0.1,0.28,0.22,0.1,3571.42,EX
二階堂 瑠美,4.0,47.0,15.2,2.5,2.0,0.0,0.0,2.0,0.5,0.5,0.5,66700.0,8560.0,0.1,0.27,0.21,0.14,7385.71,EX
内川 幸太郎,4.0,54.0,-99.8,3.25,0.0,1.0,1.0,2.0,0.0,0.25,0.5,29600.0,8580.0,0.18,0.16,0.09,0.11,3800.0,sakura
岡田 紗佳,4.0,42.0,-43.9,2.75,0.0,2.0,1.0,1.0,0.0,0.5,0.75,33500.0,5910.0,0.21,0.28,0.23,0.11,6520.0,sakura
沢崎 誠,4.0,50.0,63.6,2.25,2.0,0.0,1.0,1.0,0.5,0.5,0.75,48200.0,6690.9,0.22,0.16,0.22,0.08,4750.0,sakura
堀 慎吾,6.0,69.0,22.4,2.41,1.0,2.0,2.0,1.0,0.16,0.5,0.83,43900.0,6181.25,0.27,0.14,0.23,0.11,6125.0,sakura
