,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,13.0,151.0,5.3,2.53,3.0,3.0,4.0,3.0,0.23,0.46,0.76,60300.0,6174.19,0.37,0.21,0.2,0.07,6858.33,drivens
村上 淳,12.0,128.0,-349.9,3.08,2.0,1.0,3.0,6.0,0.16,0.25,0.5,45200.0,6240.0,0.17,0.23,0.11,0.17,7095.45,drivens
鈴木 たろう,12.0,138.0,77.7,2.33,4.0,3.0,2.0,3.0,0.33,0.58,0.75,47900.0,6962.06,0.23,0.18,0.21,0.12,5411.76,drivens
丸山 奏子,7.0,76.0,80.3,2.28,3.0,1.0,1.0,2.0,0.42,0.57,0.71,60500.0,6538.88,0.26,0.22,0.23,0.1,5125.0,drivens
二階堂 亜樹,10.0,129.0,111.7,2.1,1.0,8.0,0.0,1.0,0.1,0.9,0.9,53000.0,6936.66,0.14,0.24,0.23,0.1,4892.3,EX
勝又 健志,12.0,161.0,160.8,2.08,6.0,1.0,3.0,2.0,0.5,0.58,0.83,50500.0,7114.28,0.29,0.19,0.21,0.12,5830.0,EX
松ヶ瀬 隆弥,12.0,132.0,117.5,2.33,4.0,3.0,2.0,3.0,0.33,0.58,0.75,60100.0,7156.66,0.15,0.25,0.22,0.12,3982.35,EX
二階堂 瑠美,10.0,121.0,-52.8,2.54,2.0,3.0,2.0,3.0,0.2,0.5,0.7,66700.0,6970.83,0.18,0.19,0.19,0.13,6393.75,EX
内川 幸太郎,9.0,114.0,-64.5,2.77,2.0,1.0,3.0,3.0,0.22,0.33,0.66,44300.0,8156.25,0.14,0.23,0.14,0.1,3916.66,sakura
岡田 紗佳,10.0,112.0,-232.3,3.05,0.0,3.0,3.0,4.0,0.0,0.3,0.6,33500.0,5682.6,0.18,0.25,0.2,0.14,6800.0,sakura
沢崎 誠,11.0,148.0,182.1,2.09,5.0,2.0,2.0,2.0,0.45,0.63,0.81,48200.0,6506.89,0.15,0.19,0.19,0.06,5811.11,sakura
堀 慎吾,13.0,147.0,164.2,2.11,3.0,6.0,3.0,1.0,0.23,0.69,0.92,61800.0,6248.57,0.21,0.17,0.23,0.08,5808.33,sakura
滝沢 和典,11.0,130.0,130.7,2.18,4.0,3.0,2.0,2.0,0.36,0.63,0.81,62600.0,7243.33,0.16,0.18,0.23,0.12,5331.25,konami
佐々木 寿人,11.0,135.0,-20.1,2.72,4.0,0.0,2.0,5.0,0.36,0.36,0.54,60200.0,7025.0,0.14,0.21,0.14,0.06,3888.88,konami
高宮 まり,11.0,137.0,-111.5,2.77,3.0,0.0,4.0,4.0,0.27,0.27,0.63,52100.0,6314.81,0.2,0.18,0.19,0.1,7614.28,konami
伊達 朱里紗,11.0,138.0,300.4,2.0,5.0,2.0,3.0,1.0,0.45,0.63,0.9,105500.0,8191.17,0.26,0.25,0.24,0.1,4973.33,konami
多井 隆晴,10.0,109.0,-6.9,2.5,2.0,2.0,5.0,1.0,0.2,0.4,0.9,51900.0,5857.14,0.18,0.24,0.19,0.09,5060.0,abemas
白鳥 翔,11.0,133.0,123.3,2.18,3.0,3.0,5.0,0.0,0.27,0.54,1.0,49700.0,7092.3,0.21,0.18,0.19,0.09,4392.3,abemas
松本 吉弘,12.0,139.0,189.4,2.08,4.0,5.0,1.0,2.0,0.33,0.75,0.83,47000.0,7348.48,0.18,0.18,0.23,0.05,5742.85,abemas
日向 藍子,10.0,124.0,-187.4,3.0,1.0,1.0,5.0,3.0,0.1,0.2,0.7,51300.0,5863.63,0.17,0.25,0.17,0.08,5863.63,abemas
魚谷 侑未,11.0,129.0,-12.2,2.54,3.0,1.0,5.0,2.0,0.27,0.36,0.81,44800.0,7053.84,0.22,0.18,0.2,0.11,6480.0,sega_summy
近藤 誠一,13.0,161.0,26.3,2.46,3.0,4.0,3.0,3.0,0.23,0.53,0.76,57200.0,7581.48,0.17,0.16,0.16,0.09,5000.0,sega_summy
茅森 早香,12.0,164.0,-14.9,2.41,2.0,5.0,3.0,2.0,0.16,0.58,0.83,62100.0,8086.66,0.2,0.28,0.18,0.15,5692.0,sega_summy
東城 りお,7.0,84.0,-53.7,2.85,1.0,2.0,1.0,3.0,0.14,0.42,0.57,77200.0,6280.0,0.17,0.21,0.23,0.09,4150.0,sega_summy
萩原 聖人,10.0,122.0,-132.1,2.8,1.0,3.0,3.0,3.0,0.1,0.4,0.7,38600.0,6650.0,0.12,0.27,0.18,0.12,5240.0,raiden
