,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,12.0,134.0,-75.0,2.66,2.0,3.0,4.0,3.0,0.16,0.41,0.75,44600.0,5469.23,0.34,0.23,0.19,0.08,7127.27,drivens
村上 淳,11.0,120.0,-325.0,3.09,2.0,1.0,2.0,6.0,0.18,0.27,0.45,45200.0,6240.0,0.15,0.25,0.12,0.18,7095.45,drivens
鈴木 たろう,11.0,128.0,120.3,2.18,4.0,3.0,2.0,2.0,0.36,0.63,0.81,47900.0,7025.0,0.21,0.17,0.21,0.11,5253.33,drivens
丸山 奏子,6.0,62.0,-0.2,2.5,2.0,1.0,1.0,2.0,0.33,0.5,0.66,35600.0,5585.71,0.27,0.22,0.22,0.12,5125.0,drivens
二階堂 亜樹,9.0,118.0,104.8,2.11,1.0,7.0,0.0,1.0,0.11,0.88,0.88,53000.0,7118.51,0.15,0.22,0.22,0.09,5363.63,EX
勝又 健志,11.0,144.0,232.5,1.9,6.0,1.0,3.0,1.0,0.54,0.63,0.9,50500.0,7242.42,0.3,0.18,0.22,0.11,5376.47,EX
松ヶ瀬 隆弥,10.0,114.0,151.7,2.2,4.0,2.0,2.0,2.0,0.4,0.6,0.8,60100.0,7400.0,0.15,0.23,0.22,0.12,4042.85,EX
二階堂 瑠美,10.0,121.0,-52.8,2.54,2.0,3.0,2.0,3.0,0.2,0.5,0.7,66700.0,6970.83,0.18,0.19,0.19,0.13,6393.75,EX
内川 幸太郎,9.0,114.0,-64.5,2.77,2.0,1.0,3.0,3.0,0.22,0.33,0.66,44300.0,8156.25,0.14,0.23,0.14,0.1,3916.66,sakura
岡田 紗佳,9.0,101.0,-186.0,2.94,0.0,3.0,3.0,3.0,0.0,0.33,0.66,33500.0,5822.72,0.2,0.26,0.21,0.15,6800.0,sakura
沢崎 誠,10.0,128.0,174.8,2.1,5.0,1.0,2.0,2.0,0.5,0.6,0.8,48200.0,6322.22,0.15,0.2,0.21,0.06,5575.0,sakura
堀 慎吾,12.0,137.0,159.6,2.12,3.0,5.0,3.0,1.0,0.25,0.66,0.91,61800.0,6590.32,0.21,0.17,0.22,0.08,5609.09,sakura
滝沢 和典,10.0,116.0,188.4,2.0,4.0,3.0,2.0,1.0,0.4,0.7,0.9,62600.0,7050.0,0.15,0.17,0.24,0.1,4650.0,konami
佐々木 寿人,10.0,125.0,1.5,2.7,4.0,0.0,1.0,5.0,0.4,0.4,0.5,60200.0,7025.0,0.15,0.2,0.16,0.07,3888.88,konami
高宮 まり,10.0,120.0,-96.8,2.75,3.0,0.0,3.0,4.0,0.3,0.3,0.6,52100.0,6021.73,0.2,0.18,0.19,0.09,7690.9,konami
