,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,23.0,272.0,-10.7,2.47,4.0,8.0,7.0,4.0,0.17,0.52,0.82,60300.0,6456.89,0.35,0.23,0.21,0.09,6692.0,drivens
村上 淳,21.0,243.0,-372.4,2.85,4.0,3.0,6.0,8.0,0.19,0.33,0.61,68600.0,7078.12,0.16,0.24,0.13,0.15,5583.78,drivens
鈴木 たろう,25.0,308.0,184.3,2.31,9.0,5.0,5.0,6.0,0.36,0.56,0.76,56400.0,6647.69,0.26,0.17,0.21,0.11,5488.23,drivens
丸山 奏子,11.0,122.0,61.3,2.45,4.0,1.0,3.0,3.0,0.36,0.45,0.72,60500.0,5726.66,0.26,0.2,0.24,0.1,5153.84,drivens
二階堂 亜樹,19.0,251.0,149.0,2.26,4.0,10.0,1.0,4.0,0.21,0.73,0.78,53800.0,7350.94,0.15,0.23,0.21,0.09,5245.83,EX
勝又 健志,20.0,255.0,151.6,2.25,8.0,3.0,5.0,4.0,0.4,0.55,0.8,50500.0,6926.53,0.26,0.17,0.19,0.1,5546.42,EX
松ヶ瀬 隆弥,25.0,291.0,347.5,2.24,9.0,6.0,5.0,5.0,0.36,0.6,0.8,62300.0,7068.65,0.17,0.23,0.23,0.09,4851.72,EX
二階堂 瑠美,16.0,198.0,-232.9,2.84,3.0,3.0,3.0,7.0,0.18,0.37,0.56,66700.0,6822.22,0.17,0.17,0.18,0.12,6240.0,EX
内川 幸太郎,18.0,222.0,-139.7,2.72,5.0,1.0,6.0,6.0,0.27,0.33,0.66,48500.0,6769.44,0.15,0.2,0.16,0.11,5344.0,sakura
岡田 紗佳,16.0,178.0,-261.8,2.9,1.0,5.0,4.0,6.0,0.06,0.37,0.62,50500.0,5938.88,0.17,0.21,0.2,0.13,6416.66,sakura
沢崎 誠,21.0,265.0,313.8,2.09,8.0,6.0,4.0,3.0,0.38,0.66,0.85,48900.0,6050.94,0.23,0.18,0.2,0.06,5568.75,sakura
堀 慎吾,25.0,286.0,201.2,2.25,6.0,8.0,9.0,2.0,0.24,0.56,0.92,61800.0,6097.01,0.25,0.18,0.23,0.09,6292.59,sakura
滝沢 和典,19.0,234.0,291.6,2.15,7.0,6.0,2.0,4.0,0.36,0.68,0.78,62600.0,7413.2,0.15,0.18,0.22,0.08,5595.23,konami
佐々木 寿人,23.0,281.0,-206.1,2.82,6.0,3.0,3.0,11.0,0.26,0.39,0.52,60200.0,7417.07,0.16,0.24,0.14,0.1,5313.33,konami
高宮 まり,19.0,244.0,-213.7,2.81,4.0,1.0,8.0,6.0,0.21,0.26,0.68,64500.0,6304.16,0.18,0.17,0.19,0.1,6534.61,konami
伊達 朱里紗,19.0,235.0,262.8,2.26,7.0,4.0,4.0,4.0,0.36,0.57,0.78,105500.0,7065.45,0.25,0.24,0.23,0.1,5392.0,konami
多井 隆晴,23.0,273.0,182.5,2.21,5.0,9.0,8.0,1.0,0.21,0.6,0.95,51900.0,6376.36,0.2,0.2,0.2,0.06,5288.23,abemas
白鳥 翔,20.0,245.0,68.3,2.35,5.0,5.0,8.0,2.0,0.25,0.5,0.9,49700.0,6558.69,0.21,0.18,0.18,0.08,5572.72,abemas
松本 吉弘,22.0,262.0,58.6,2.4,5.0,8.0,4.0,5.0,0.22,0.59,0.77,47000.0,6737.28,0.2,0.2,0.22,0.08,6233.33,abemas
日向 藍子,15.0,173.0,-110.4,2.66,3.0,2.0,7.0,3.0,0.2,0.33,0.8,51300.0,6323.33,0.15,0.23,0.17,0.08,5578.57,abemas
魚谷 侑未,22.0,255.0,14.0,2.5,6.0,4.0,7.0,5.0,0.27,0.45,0.77,58800.0,6514.28,0.24,0.16,0.21,0.09,6429.16,sega_summy
近藤 誠一,21.0,252.0,-79.0,2.61,5.0,4.0,6.0,6.0,0.23,0.42,0.71,57200.0,7469.23,0.17,0.15,0.15,0.1,5229.62,sega_summy
茅森 早香,22.0,291.0,176.3,2.22,6.0,9.0,3.0,4.0,0.27,0.68,0.81,62100.0,8420.0,0.18,0.27,0.18,0.13,5390.0,sega_summy
東城 りお,15.0,178.0,107.7,2.4,5.0,2.0,5.0,3.0,0.33,0.46,0.8,77200.0,6513.33,0.2,0.23,0.25,0.14,4712.0,sega_summy
萩原 聖人,19.0,232.0,-331.3,2.94,1.0,5.0,7.0,6.0,0.05,0.31,0.68,44700.0,7426.47,0.12,0.28,0.14,0.1,5245.83,raiden
瀬戸熊 直樹,19.0,231.0,-417.9,3.05,2.0,4.0,4.0,9.0,0.1,0.31,0.52,48400.0,6816.12,0.14,0.26,0.13,0.16,4984.21,raiden
黒沢 咲,21.0,266.0,-270.5,2.8,4.0,5.0,3.0,9.0,0.19,0.42,0.57,53500.0,6566.66,0.07,0.23,0.16,0.11,5226.66,raiden
本田 朋広,21.0,258.0,-287.1,2.78,2.0,6.0,7.0,6.0,0.09,0.38,0.71,47400.0,6338.46,0.2,0.2,0.15,0.11,5336.66,raiden
小林 剛,25.0,306.0,88.6,2.46,6.0,6.0,8.0,5.0,0.24,0.48,0.8,54200.0,6265.67,0.33,0.16,0.21,0.09,5321.42,u-next
朝倉 康心,20.0,256.0,60.2,2.5,6.0,5.0,2.0,7.0,0.3,0.55,0.65,102400.0,6249.15,0.24,0.23,0.23,0.1,7080.76,u-next
石橋 伸洋,15.0,178.0,-233.7,2.86,2.0,2.0,7.0,4.0,0.13,0.26,0.73,58600.0,6303.12,0.25,0.2,0.17,0.1,6242.1,u-next
瑞原 明奈,20.0,227.0,427.9,1.9,7.0,10.0,1.0,2.0,0.35,0.85,0.9,66100.0,6190.16,0.19,0.29,0.26,0.05,4169.23,u-next
