,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,10.0,123.0,50.3,2.4,4.0,1.0,2.0,3.0,0.4,0.5,0.7,55300.0,6214.28,0.29,0.18,0.17,0.08,5280.0,drivens
村上 淳,8.0,88.0,-164.9,2.87,0.0,3.0,3.0,2.0,0.0,0.37,0.75,30000.0,3950.0,0.22,0.19,0.11,0.06,4133.33,drivens
鈴木 たろう,9.0,129.0,-2.9,2.44,2.0,3.0,2.0,2.0,0.22,0.55,0.77,51600.0,6804.16,0.29,0.15,0.18,0.1,5869.23,drivens
丸山 奏子,5.0,59.0,-200.8,3.4,0.0,1.0,1.0,3.0,0.0,0.2,0.4,46700.0,8220.0,0.13,0.25,0.08,0.15,6411.11,drivens
二階堂 亜樹,8.0,83.0,-67.6,2.87,2.0,1.0,1.0,4.0,0.25,0.37,0.5,59500.0,7714.28,0.14,0.19,0.16,0.13,6545.45,EX
勝又 健志,9.0,114.0,211.6,1.88,4.0,3.0,1.0,1.0,0.44,0.77,0.88,61200.0,6225.8,0.19,0.21,0.27,0.08,7310.0,EX
松ヶ瀬 隆弥,8.0,98.0,233.0,1.75,4.0,3.0,0.0,1.0,0.5,0.87,0.87,51200.0,8250.0,0.23,0.24,0.22,0.06,6816.66,EX
二階堂 瑠美,7.0,78.0,-128.5,3.0,2.0,0.0,1.0,4.0,0.28,0.28,0.42,51500.0,6663.63,0.14,0.16,0.14,0.19,5646.66,EX
内川 幸太郎,7.0,80.0,22.6,2.42,2.0,2.0,1.0,2.0,0.28,0.57,0.71,59600.0,7364.28,0.27,0.25,0.17,0.12,4300.0,sakura
岡田 紗佳,6.0,70.0,50.6,2.33,2.0,1.0,2.0,1.0,0.33,0.5,0.83,53700.0,6652.94,0.17,0.25,0.24,0.11,3725.0,sakura
