,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,26.0,307.0,-65.6,2.53,4.0,9.0,8.0,5.0,0.15,0.5,0.8,60300.0,6393.84,0.34,0.22,0.21,0.08,6566.66,drivens
村上 淳,23.0,267.0,-384.1,2.82,4.0,4.0,7.0,8.0,0.17,0.34,0.65,68600.0,6964.86,0.16,0.23,0.13,0.14,5505.12,drivens
鈴木 たろう,28.0,344.0,132.0,2.35,9.0,7.0,5.0,7.0,0.32,0.57,0.75,56400.0,6538.35,0.27,0.19,0.21,0.11,5975.6,drivens
丸山 奏子,11.0,122.0,61.3,2.45,4.0,1.0,3.0,3.0,0.36,0.45,0.72,60500.0,5726.66,0.26,0.2,0.24,0.1,5153.84,drivens
二階堂 亜樹,21.0,278.0,49.4,2.38,4.0,10.0,2.0,5.0,0.19,0.66,0.76,53800.0,7301.72,0.15,0.24,0.2,0.11,5596.77,EX
勝又 健志,22.0,280.0,146.4,2.27,8.0,4.0,6.0,4.0,0.36,0.54,0.81,50500.0,6922.64,0.25,0.17,0.18,0.1,5373.33,EX
松ヶ瀬 隆弥,28.0,330.0,213.7,2.39,9.0,6.0,6.0,7.0,0.32,0.53,0.75,62300.0,6994.28,0.17,0.23,0.21,0.1,4738.23,EX
二階堂 瑠美,17.0,209.0,-279.8,2.91,3.0,3.0,3.0,8.0,0.17,0.35,0.52,66700.0,6822.22,0.18,0.18,0.17,0.12,6122.22,EX
内川 幸太郎,18.0,222.0,-139.7,2.72,5.0,1.0,6.0,6.0,0.27,0.33,0.66,48500.0,6769.44,0.15,0.2,0.16,0.11,5344.0,sakura
岡田 紗佳,16.0,178.0,-261.8,2.9,1.0,5.0,4.0,6.0,0.06,0.37,0.62,50500.0,5938.88,0.17,0.21,0.2,0.13,6416.66,sakura
沢崎 誠,25.0,316.0,415.1,2.04,9.0,9.0,4.0,3.0,0.36,0.72,0.88,49500.0,5932.35,0.22,0.17,0.21,0.05,5727.77,sakura
堀 慎吾,29.0,334.0,234.4,2.25,8.0,8.0,10.0,3.0,0.27,0.55,0.89,61800.0,6253.24,0.25,0.18,0.23,0.09,6531.25,sakura
