,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,8.0,89.0,71.2,2.25,2.0,3.0,2.0,1.0,0.25,0.62,0.87,44600.0,4680.95,0.34,0.21,0.23,0.04,7200.0,drivens
村上 淳,8.0,86.0,-305.2,3.25,1.0,1.0,1.0,5.0,0.12,0.25,0.37,45200.0,5900.0,0.19,0.19,0.1,0.22,6957.89,drivens
鈴木 たろう,8.0,94.0,61.2,2.25,3.0,2.0,1.0,2.0,0.37,0.62,0.75,47900.0,7276.47,0.18,0.18,0.18,0.1,5970.0,drivens
丸山 奏子,4.0,40.0,97.0,1.75,2.0,1.0,1.0,0.0,0.5,0.75,1.0,35600.0,5181.81,0.32,0.22,0.27,0.12,3180.0,drivens
二階堂 亜樹,6.0,74.0,67.4,2.16,1.0,4.0,0.0,1.0,0.16,0.83,0.83,53000.0,7123.52,0.18,0.16,0.22,0.1,5062.5,EX
勝又 健志,8.0,106.0,224.7,1.75,5.0,1.0,1.0,1.0,0.62,0.75,0.87,50500.0,6676.92,0.33,0.16,0.24,0.1,5327.27,EX
松ヶ瀬 隆弥,8.0,91.0,188.5,2.0,4.0,1.0,2.0,1.0,0.5,0.62,0.87,60100.0,7352.38,0.13,0.24,0.23,0.1,3540.0,EX
二階堂 瑠美,6.0,73.0,32.6,2.33,2.0,2.0,0.0,2.0,0.33,0.66,0.66,66700.0,7311.76,0.16,0.23,0.23,0.15,7336.36,EX
内川 幸太郎,7.0,89.0,-28.9,2.71,2.0,1.0,1.0,3.0,0.28,0.42,0.57,44300.0,8316.66,0.15,0.21,0.13,0.12,3800.0,sakura
岡田 紗佳,6.0,62.0,-123.1,2.91,0.0,2.0,2.0,2.0,0.0,0.33,0.66,33500.0,6776.92,0.19,0.25,0.2,0.16,7990.0,sakura
沢崎 誠,7.0,86.0,187.6,1.85,4.0,1.0,1.0,1.0,0.57,0.71,0.85,48200.0,6668.42,0.22,0.17,0.22,0.05,5340.0,sakura
堀 慎吾,8.0,88.0,36.8,2.31,1.0,4.0,2.0,1.0,0.12,0.62,0.87,43900.0,6325.0,0.21,0.19,0.22,0.1,6333.33,sakura
滝沢 和典,7.0,81.0,97.2,2.14,3.0,1.0,2.0,1.0,0.42,0.57,0.85,62600.0,7178.94,0.11,0.2,0.23,0.11,3844.44,konami
