,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drivens
村上 淳,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drivens
鈴木 たろう,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drivens
丸山 奏子,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drivens
二階堂 亜樹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EX
勝又 健志,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EX
松ヶ瀬 隆弥,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EX
二階堂 瑠美,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EX
内川 幸太郎,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sakura
岡田 紗佳,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sakura
堀 慎吾,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sakura
渋川 難波,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sakura
滝沢 和典,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,konami
佐々木 寿人,1.0,12.0,18.2,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,38200.0,9566.66,0.08,0.25,0.25,0.08,7700.0,konami
高宮 まり,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,konami
伊達 朱里紗,1.0,10.0,78.8,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,58800.0,12175.0,0.2,0.2,0.4,0.1,8000.0,konami
多井 隆晴,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,abemas
白鳥 翔,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,abemas
松本 吉弘,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,abemas
日向 藍子,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,abemas
魚谷 侑未,1.0,12.0,60.4,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,40400.0,9733.33,0.16,0.33,0.25,0.08,1600.0,sega_summy
近藤 誠一,1.0,10.0,-35.8,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4200.0,2000.0,0.2,0.3,0.1,0.0,0.0,sega_summy
茅森 早香,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sega_summy
東城 りお,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sega_summy
萩原 聖人,1.0,12.0,-17.1,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,22900.0,4000.0,0.0,0.16,0.16,0.0,0.0,raiden
瀬戸熊 直樹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,raiden
黒沢 咲,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,raiden
本田 朋広,1.0,10.0,-57.9,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2100.0,8000.0,0.3,0.2,0.1,0.0,0.0,raiden
小林 剛,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,u-next
瑞原 明奈,1.0,10.0,14.9,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,34900.0,13800.0,0.0,0.2,0.2,0.1,2000.0,u-next
鈴木 優,1.0,12.0,-61.5,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1500.0,7700.0,0.08,0.33,0.08,0.25,7866.66,u-next
仲林 圭,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,u-next
