,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,27.0,314.0,229.3,2.33,9.0,5.0,8.0,5.0,0.33,0.51,0.81,84100.0,6263.01,0.3,0.21,0.23,0.1,5645.45,drivens
村上 淳,21.0,251.0,-249.8,2.66,2.0,7.0,8.0,4.0,0.09,0.42,0.8,38200.0,6350.0,0.19,0.25,0.14,0.1,4923.07,drivens
鈴木 たろう,22.0,299.0,-202.7,2.63,3.0,7.0,7.0,5.0,0.13,0.45,0.77,51600.0,6750.0,0.23,0.18,0.17,0.11,5584.84,drivens
丸山 奏子,10.0,126.0,-203.0,3.0,1.0,2.0,3.0,4.0,0.1,0.3,0.6,48600.0,8282.35,0.18,0.23,0.13,0.11,6000.0,drivens
二階堂 亜樹,20.0,249.0,-13.9,2.6,4.0,6.0,4.0,6.0,0.2,0.5,0.7,59500.0,6933.33,0.16,0.21,0.2,0.08,5338.09,EX
勝又 健志,19.0,232.0,271.1,2.05,6.0,7.0,5.0,1.0,0.31,0.68,0.94,61200.0,5848.27,0.16,0.2,0.25,0.08,5605.0,EX
松ヶ瀬 隆弥,21.0,256.0,178.6,2.23,7.0,7.0,2.0,5.0,0.33,0.66,0.76,51900.0,7106.0,0.17,0.2,0.19,0.08,5939.13,EX
二階堂 瑠美,18.0,212.0,135.7,2.44,7.0,2.0,3.0,6.0,0.38,0.5,0.66,73800.0,7127.08,0.17,0.21,0.22,0.12,5837.03,EX
内川 幸太郎,19.0,243.0,14.3,2.5,6.0,3.0,5.0,5.0,0.31,0.47,0.73,59600.0,7308.1,0.25,0.23,0.15,0.11,5314.81,sakura
岡田 紗佳,14.0,162.0,-67.6,2.78,4.0,1.0,3.0,6.0,0.28,0.35,0.57,64100.0,7512.9,0.19,0.22,0.19,0.11,4233.33,sakura
堀 慎吾,25.0,304.0,-107.8,2.68,7.0,4.0,4.0,10.0,0.28,0.44,0.6,60200.0,6695.16,0.25,0.19,0.2,0.12,6700.0,sakura
渋川 難波,22.0,278.0,-25.2,2.5,5.0,6.0,6.0,5.0,0.22,0.5,0.77,56700.0,7239.13,0.22,0.23,0.16,0.13,3821.05,sakura
滝沢 和典,19.0,233.0,-202.3,2.84,3.0,4.0,5.0,7.0,0.15,0.36,0.63,46200.0,6560.46,0.18,0.23,0.18,0.09,4981.81,konami
佐々木 寿人,20.0,244.0,94.9,2.4,6.0,5.0,4.0,5.0,0.3,0.55,0.75,75600.0,6303.7,0.21,0.27,0.22,0.09,5354.16,konami
高宮 まり,19.0,220.0,163.8,2.26,5.0,7.0,4.0,3.0,0.26,0.63,0.84,66400.0,7646.66,0.24,0.25,0.2,0.1,5840.9,konami
伊達 朱里紗,20.0,246.0,370.5,2.1,9.0,4.0,3.0,4.0,0.45,0.65,0.8,64300.0,8062.5,0.19,0.19,0.19,0.1,5180.0,konami
多井 隆晴,19.0,240.0,-61.7,2.47,4.0,6.0,5.0,4.0,0.21,0.52,0.78,60400.0,5090.9,0.21,0.19,0.22,0.12,5283.33,abemas
白鳥 翔,21.0,267.0,-173.3,2.71,4.0,4.0,7.0,6.0,0.19,0.38,0.71,77200.0,6037.5,0.23,0.16,0.17,0.12,4794.11,abemas
松本 吉弘,21.0,274.0,57.1,2.42,5.0,7.0,4.0,5.0,0.23,0.57,0.76,57100.0,6766.12,0.23,0.21,0.22,0.1,6640.0,abemas
日向 藍子,17.0,183.0,114.4,2.29,3.0,7.0,6.0,1.0,0.17,0.58,0.94,65800.0,7402.77,0.17,0.18,0.19,0.08,4653.33,abemas
魚谷 侑未,22.0,274.0,-282.6,2.81,3.0,5.0,7.0,7.0,0.13,0.36,0.68,43400.0,6272.09,0.22,0.19,0.15,0.1,5664.28,sega_summy
近藤 誠一,17.0,213.0,-267.0,2.82,2.0,5.0,4.0,6.0,0.11,0.41,0.64,53300.0,6782.35,0.23,0.23,0.15,0.1,7621.73,sega_summy
茅森 早香,22.0,304.0,-76.9,2.61,4.0,6.0,7.0,5.0,0.18,0.45,0.77,90000.0,7278.94,0.19,0.23,0.18,0.1,6796.96,sega_summy
東城 りお,19.0,247.0,343.9,2.1,8.0,4.0,4.0,3.0,0.42,0.63,0.84,69500.0,7696.42,0.17,0.21,0.22,0.09,6252.17,sega_summy
萩原 聖人,16.0,201.0,-326.4,2.93,2.0,5.0,1.0,8.0,0.12,0.43,0.5,40200.0,5975.0,0.12,0.2,0.13,0.11,5600.0,raiden
瀬戸熊 直樹,21.0,248.0,-8.9,2.42,4.0,8.0,5.0,4.0,0.19,0.57,0.8,53900.0,6363.46,0.14,0.22,0.2,0.08,5450.0,raiden
黒沢 咲,20.0,266.0,-82.4,2.7,4.0,2.0,10.0,4.0,0.2,0.3,0.8,112700.0,7064.0,0.07,0.26,0.18,0.08,6382.6,raiden
本田 朋広,23.0,290.0,290.8,2.17,11.0,4.0,1.0,7.0,0.47,0.65,0.69,63900.0,6529.41,0.24,0.23,0.23,0.11,6135.29,raiden
小林 剛,19.0,245.0,-23.9,2.63,5.0,2.0,7.0,5.0,0.26,0.36,0.73,67200.0,5740.98,0.33,0.2,0.24,0.11,5859.25,u-next
瑞原 明奈,17.0,207.0,349.7,2.0,8.0,3.0,4.0,2.0,0.47,0.64,0.88,73800.0,6717.02,0.23,0.22,0.22,0.06,4928.57,u-next
鈴木 優,22.0,273.0,-105.9,2.54,3.0,7.0,9.0,3.0,0.13,0.45,0.86,46600.0,5580.39,0.31,0.19,0.18,0.08,4677.27,u-next
仲林 圭,20.0,239.0,-132.8,2.6,4.0,6.0,4.0,6.0,0.2,0.5,0.7,47900.0,6189.79,0.3,0.23,0.2,0.1,7157.69,u-next
