,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,8.0,100.0,13.4,2.37,3.0,1.0,2.0,2.0,0.37,0.5,0.75,39500.0,6607.14,0.31,0.19,0.14,0.09,5433.33,drivens
村上 淳,7.0,79.0,-116.7,2.71,0.0,3.0,3.0,1.0,0.0,0.42,0.85,30000.0,3950.0,0.24,0.2,0.12,0.07,4133.33,drivens
鈴木 たろう,7.0,102.0,-13.8,2.42,1.0,3.0,2.0,1.0,0.14,0.57,0.85,51600.0,6490.0,0.29,0.14,0.19,0.12,5869.23,drivens
丸山 奏子,4.0,48.0,-149.3,3.25,0.0,1.0,1.0,2.0,0.0,0.25,0.5,46700.0,7275.0,0.16,0.27,0.08,0.14,5971.42,drivens
二階堂 亜樹,7.0,72.0,-147.1,3.14,1.0,1.0,1.0,4.0,0.14,0.28,0.42,40300.0,6480.0,0.13,0.19,0.13,0.15,6545.45,EX
勝又 健志,7.0,88.0,72.9,2.14,2.0,3.0,1.0,1.0,0.28,0.71,0.85,61200.0,6500.0,0.18,0.22,0.22,0.1,8011.11,EX
松ヶ瀬 隆弥,6.0,76.0,166.2,1.83,3.0,2.0,0.0,1.0,0.5,0.83,0.83,51200.0,9475.0,0.19,0.28,0.21,0.07,6816.66,EX
二階堂 瑠美,6.0,69.0,-78.2,2.83,2.0,0.0,1.0,3.0,0.33,0.33,0.5,51500.0,6530.0,0.14,0.18,0.14,0.18,5292.3,EX
内川 幸太郎,5.0,58.0,-16.0,2.6,1.0,2.0,0.0,2.0,0.2,0.6,0.6,59600.0,6163.63,0.29,0.27,0.18,0.1,4300.0,sakura
岡田 紗佳,5.0,61.0,39.5,2.4,2.0,0.0,2.0,1.0,0.4,0.4,0.8,53700.0,6757.14,0.18,0.26,0.22,0.11,4114.28,sakura
堀 慎吾,7.0,84.0,-43.3,2.85,2.0,1.0,0.0,4.0,0.28,0.42,0.42,57400.0,6505.26,0.34,0.19,0.22,0.17,5613.33,sakura
渋川 難波,9.0,116.0,-168.3,2.88,1.0,2.0,3.0,3.0,0.11,0.33,0.66,56700.0,8128.57,0.21,0.18,0.12,0.2,3962.5,sakura
滝沢 和典,6.0,77.0,-160.6,3.33,0.0,1.0,2.0,3.0,0.0,0.16,0.5,44200.0,7291.66,0.11,0.27,0.15,0.09,6100.0,konami
佐々木 寿人,6.0,66.0,181.6,1.83,3.0,2.0,0.0,1.0,0.5,0.83,0.83,49200.0,6663.15,0.22,0.19,0.28,0.06,5025.0,konami
高宮 まり,7.0,87.0,-8.3,2.42,1.0,3.0,2.0,1.0,0.14,0.57,0.85,48800.0,8156.25,0.26,0.21,0.18,0.1,7544.44,konami
伊達 朱里紗,7.0,90.0,152.4,2.0,3.0,2.0,1.0,1.0,0.42,0.71,0.85,58800.0,7806.25,0.22,0.13,0.17,0.03,3766.66,konami
多井 隆晴,6.0,76.0,74.1,2.0,2.0,3.0,0.0,1.0,0.33,0.83,0.83,46000.0,5984.21,0.22,0.23,0.25,0.15,5241.66,abemas
白鳥 翔,6.0,83.0,151.4,1.83,3.0,1.0,2.0,0.0,0.5,0.66,1.0,77200.0,5817.39,0.3,0.12,0.27,0.12,4720.0,abemas
松本 吉弘,7.0,85.0,106.5,2.14,3.0,1.0,2.0,1.0,0.42,0.57,0.85,57100.0,6228.57,0.24,0.22,0.24,0.14,5500.0,abemas
日向 藍子,7.0,70.0,111.4,2.14,2.0,2.0,3.0,0.0,0.28,0.57,1.0,65800.0,9100.0,0.18,0.2,0.18,0.05,5300.0,abemas
魚谷 侑未,7.0,91.0,6.8,2.42,1.0,3.0,2.0,1.0,0.14,0.57,0.85,40400.0,6455.0,0.2,0.25,0.21,0.09,4133.33,sega_summy
近藤 誠一,7.0,80.0,-161.6,3.0,0.0,2.0,3.0,2.0,0.0,0.28,0.71,34500.0,6345.45,0.2,0.27,0.13,0.11,5077.77,sega_summy
茅森 早香,8.0,116.0,16.4,2.62,2.0,1.0,3.0,2.0,0.25,0.37,0.75,90000.0,8196.15,0.21,0.3,0.22,0.15,7094.44,sega_summy
東城 りお,4.0,52.0,40.4,2.25,2.0,0.0,1.0,1.0,0.5,0.5,0.75,38400.0,7966.66,0.07,0.19,0.11,0.05,4500.0,sega_summy
萩原 聖人,4.0,53.0,-144.8,3.25,0.0,1.0,1.0,2.0,0.0,0.25,0.5,22900.0,5733.33,0.11,0.28,0.11,0.13,6685.71,raiden
