,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,16.0,187.0,52.5,2.43,4.0,4.0,5.0,3.0,0.25,0.5,0.81,60300.0,6348.78,0.36,0.21,0.21,0.08,6900.0,drivens
村上 淳,14.0,153.0,-418.5,3.14,2.0,1.0,4.0,7.0,0.14,0.21,0.5,45200.0,6441.17,0.16,0.23,0.11,0.15,7104.16,drivens
鈴木 たろう,15.0,175.0,95.9,2.33,5.0,4.0,2.0,4.0,0.33,0.6,0.73,48200.0,6794.59,0.24,0.18,0.21,0.12,5676.19,drivens
丸山 奏子,9.0,95.0,12.2,2.55,3.0,1.0,2.0,3.0,0.33,0.44,0.66,60500.0,5943.47,0.27,0.21,0.24,0.11,5272.72,drivens
二階堂 亜樹,13.0,173.0,2.5,2.38,1.0,9.0,0.0,3.0,0.07,0.76,0.76,53000.0,6714.7,0.15,0.22,0.19,0.09,5306.25,EX
勝又 健志,14.0,183.0,73.0,2.28,6.0,1.0,4.0,3.0,0.42,0.5,0.78,50500.0,7114.28,0.29,0.18,0.19,0.12,5800.0,EX
松ヶ瀬 隆弥,15.0,165.0,203.8,2.26,6.0,3.0,2.0,4.0,0.4,0.6,0.73,60100.0,7142.1,0.13,0.25,0.23,0.1,3872.22,EX
二階堂 瑠美,12.0,148.0,-139.8,2.7,2.0,3.0,3.0,4.0,0.16,0.41,0.66,66700.0,7203.84,0.18,0.17,0.17,0.12,6494.73,EX
内川 幸太郎,12.0,152.0,13.7,2.58,4.0,1.0,3.0,4.0,0.33,0.41,0.66,48500.0,7608.0,0.15,0.22,0.16,0.09,4400.0,sakura
岡田 紗佳,12.0,131.0,-310.9,3.12,0.0,3.0,4.0,5.0,0.0,0.25,0.58,33500.0,5430.76,0.19,0.23,0.19,0.14,6700.0,sakura
沢崎 誠,13.0,165.0,222.1,2.07,6.0,2.0,3.0,2.0,0.46,0.61,0.84,48200.0,6379.41,0.16,0.18,0.2,0.06,5620.0,sakura
堀 慎吾,17.0,189.0,202.2,2.14,4.0,7.0,5.0,1.0,0.23,0.64,0.94,61800.0,6185.1,0.22,0.2,0.24,0.07,6407.14,sakura
滝沢 和典,14.0,170.0,164.5,2.21,5.0,4.0,2.0,3.0,0.35,0.64,0.78,62600.0,7231.57,0.15,0.18,0.22,0.1,5477.77,konami
佐々木 寿人,14.0,166.0,-19.0,2.64,5.0,1.0,2.0,6.0,0.35,0.42,0.57,60200.0,7443.47,0.14,0.19,0.13,0.07,3761.53,konami
高宮 まり,13.0,156.0,-118.7,2.73,3.0,1.0,5.0,4.0,0.23,0.3,0.69,52100.0,6325.8,0.19,0.17,0.19,0.1,6770.58,konami
伊達 朱里紗,13.0,155.0,234.0,2.23,5.0,2.0,4.0,2.0,0.38,0.53,0.84,105500.0,7755.26,0.24,0.25,0.24,0.11,5211.11,konami
多井 隆晴,14.0,154.0,55.9,2.35,3.0,4.0,6.0,1.0,0.21,0.5,0.92,51900.0,6603.22,0.19,0.24,0.2,0.08,5061.53,abemas
白鳥 翔,14.0,169.0,14.4,2.42,3.0,4.0,5.0,2.0,0.21,0.5,0.85,49700.0,7153.12,0.21,0.18,0.18,0.11,5889.47,abemas
松本 吉弘,15.0,172.0,131.7,2.26,4.0,6.0,2.0,3.0,0.26,0.66,0.8,47000.0,7023.07,0.2,0.18,0.22,0.05,5622.22,abemas
日向 藍子,11.0,133.0,-180.9,2.9,1.0,2.0,5.0,3.0,0.09,0.27,0.72,51300.0,5770.83,0.16,0.24,0.18,0.09,5541.66,abemas
魚谷 侑未,14.0,156.0,78.3,2.35,5.0,1.0,6.0,2.0,0.35,0.42,0.85,45500.0,7178.78,0.25,0.17,0.21,0.09,6480.0,sega_summy
近藤 誠一,15.0,184.0,-40.6,2.6,3.0,4.0,4.0,4.0,0.2,0.46,0.73,57200.0,7530.0,0.17,0.16,0.16,0.1,4900.0,sega_summy
茅森 早香,14.0,188.0,73.0,2.28,3.0,6.0,3.0,2.0,0.21,0.64,0.85,62100.0,8550.0,0.21,0.28,0.19,0.14,5903.57,sega_summy
東城 りお,11.0,134.0,116.1,2.36,4.0,2.0,2.0,3.0,0.36,0.54,0.72,77200.0,6525.0,0.22,0.22,0.26,0.12,4252.94,sega_summy
