,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,3.0,38.0,-39.3,2.66,1.0,0.0,1.0,1.0,0.33,0.33,0.66,37300.0,4816.66,0.34,0.15,0.15,0.07,10166.66,drivens
村上 淳,3.0,40.0,-43.7,2.66,0.0,1.0,2.0,0.0,0.0,0.33,1.0,30000.0,2175.0,0.25,0.15,0.1,0.02,8000.0,drivens
鈴木 たろう,2.0,24.0,-11.4,2.5,0.0,1.0,1.0,0.0,0.0,0.5,1.0,31700.0,4933.33,0.2,0.12,0.25,0.12,6133.33,drivens
丸山 奏子,2.0,27.0,-113.8,3.5,0.0,0.0,1.0,1.0,0.0,0.0,0.5,12200.0,8000.0,0.14,0.25,0.03,0.18,5180.0,drivens
二階堂 亜樹,1.0,10.0,-45.3,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14700.0,4500.0,0.2,0.2,0.2,0.2,10000.0,EX
勝又 健志,3.0,40.0,-73.3,3.0,0.0,1.0,1.0,1.0,0.0,0.33,0.66,23700.0,6262.5,0.17,0.25,0.2,0.15,8716.66,EX
松ヶ瀬 隆弥,3.0,35.0,18.0,2.33,1.0,1.0,0.0,1.0,0.33,0.66,0.66,51200.0,9100.0,0.14,0.31,0.17,0.05,5950.0,EX
二階堂 瑠美,3.0,30.0,-60.6,3.0,1.0,0.0,0.0,2.0,0.33,0.33,0.33,38700.0,5600.0,0.13,0.16,0.13,0.26,5625.0,EX
内川 幸太郎,2.0,29.0,79.8,1.5,1.0,1.0,0.0,0.0,0.5,1.0,1.0,59600.0,6857.14,0.37,0.34,0.24,0.06,3900.0,sakura
岡田 紗佳,3.0,38.0,17.5,2.33,1.0,0.0,2.0,0.0,0.33,0.33,1.0,53700.0,7657.14,0.21,0.23,0.18,0.13,3640.0,sakura
堀 慎吾,2.0,28.0,-33.1,3.0,0.0,1.0,0.0,1.0,0.0,0.5,0.5,27300.0,6242.85,0.32,0.17,0.25,0.25,4485.71,sakura
渋川 難波,3.0,37.0,-20.1,2.66,0.0,2.0,0.0,1.0,0.0,0.66,0.66,39900.0,6657.14,0.35,0.13,0.18,0.16,3716.66,sakura
滝沢 和典,3.0,32.0,-40.0,3.0,0.0,1.0,1.0,1.0,0.0,0.33,0.66,44200.0,7214.28,0.15,0.21,0.21,0.09,5666.66,konami
