,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,20.0,236.0,62.7,2.4,4.0,7.0,6.0,3.0,0.2,0.55,0.85,60300.0,6358.0,0.36,0.22,0.21,0.08,6347.61,drivens
村上 淳,19.0,215.0,-338.3,2.89,4.0,2.0,5.0,8.0,0.21,0.31,0.57,68600.0,6532.25,0.17,0.26,0.14,0.15,5975.75,drivens
鈴木 たろう,22.0,264.0,121.9,2.36,8.0,4.0,4.0,6.0,0.36,0.54,0.72,48200.0,6875.47,0.25,0.17,0.2,0.12,5490.62,drivens
丸山 奏子,11.0,122.0,61.3,2.45,4.0,1.0,3.0,3.0,0.36,0.45,0.72,60500.0,5726.66,0.26,0.2,0.24,0.1,5153.84,drivens
二階堂 亜樹,17.0,224.0,61.1,2.35,3.0,9.0,1.0,4.0,0.17,0.7,0.76,53800.0,6940.0,0.16,0.22,0.2,0.08,5436.84,EX
勝又 健志,18.0,233.0,78.6,2.33,7.0,2.0,5.0,4.0,0.38,0.5,0.77,50500.0,6939.53,0.27,0.17,0.18,0.11,5455.55,EX
松ヶ瀬 隆弥,22.0,252.0,337.8,2.18,8.0,6.0,4.0,4.0,0.36,0.63,0.81,60100.0,7073.33,0.17,0.23,0.23,0.1,4551.85,EX
二階堂 瑠美,15.0,186.0,-178.0,2.76,3.0,3.0,3.0,6.0,0.2,0.4,0.6,66700.0,6727.27,0.17,0.16,0.17,0.1,6235.0,EX
内川 幸太郎,16.0,198.0,-53.4,2.62,5.0,1.0,5.0,5.0,0.31,0.37,0.68,48500.0,7096.96,0.14,0.2,0.16,0.1,5570.0,sakura
岡田 紗佳,15.0,169.0,-209.9,2.83,1.0,5.0,4.0,5.0,0.06,0.4,0.66,50500.0,5938.88,0.18,0.22,0.21,0.13,6347.82,sakura
沢崎 誠,19.0,240.0,306.2,2.1,8.0,4.0,4.0,3.0,0.42,0.63,0.84,48900.0,6138.77,0.21,0.18,0.2,0.05,5650.0,sakura
堀 慎吾,22.0,254.0,97.1,2.34,4.0,8.0,8.0,2.0,0.18,0.54,0.9,61800.0,5893.33,0.24,0.19,0.23,0.09,6682.6,sakura
滝沢 和典,18.0,221.0,217.9,2.22,6.0,6.0,2.0,4.0,0.33,0.66,0.77,62600.0,7456.25,0.15,0.18,0.21,0.09,5595.23,konami
佐々木 寿人,22.0,266.0,-267.8,2.9,5.0,3.0,3.0,11.0,0.22,0.36,0.5,60200.0,7476.31,0.16,0.23,0.14,0.11,5313.33,konami
高宮 まり,15.0,186.0,-209.4,2.83,3.0,1.0,6.0,5.0,0.2,0.26,0.66,52100.0,6417.14,0.2,0.16,0.18,0.11,6952.38,konami
伊達 朱里紗,17.0,209.0,315.7,2.17,7.0,3.0,4.0,3.0,0.41,0.58,0.82,105500.0,7405.88,0.24,0.24,0.24,0.1,5627.27,konami
