,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,19.0,223.0,87.6,2.36,4.0,7.0,5.0,3.0,0.21,0.57,0.84,60300.0,6438.77,0.37,0.21,0.21,0.08,6405.0,drivens
村上 淳,17.0,191.0,-403.7,3.0,3.0,2.0,4.0,8.0,0.17,0.29,0.52,45200.0,6250.0,0.16,0.25,0.12,0.15,6393.1,drivens
鈴木 たろう,18.0,213.0,167.3,2.27,7.0,4.0,2.0,5.0,0.38,0.61,0.72,48200.0,6882.97,0.24,0.18,0.22,0.12,5526.92,drivens
丸山 奏子,10.0,109.0,74.6,2.4,4.0,1.0,2.0,3.0,0.4,0.5,0.7,60500.0,6085.18,0.28,0.22,0.24,0.11,5153.84,drivens
二階堂 亜樹,15.0,201.0,51.6,2.33,2.0,9.0,1.0,3.0,0.13,0.73,0.8,53800.0,7084.61,0.15,0.21,0.19,0.08,5300.0,EX
勝又 健志,17.0,220.0,128.5,2.23,7.0,2.0,5.0,3.0,0.41,0.52,0.82,50500.0,7053.65,0.27,0.17,0.18,0.1,5641.66,EX
松ヶ瀬 隆弥,19.0,219.0,198.1,2.31,6.0,5.0,4.0,4.0,0.31,0.57,0.78,60100.0,7204.0,0.15,0.24,0.22,0.11,4440.0,EX
二階堂 瑠美,13.0,160.0,-185.9,2.8,2.0,3.0,3.0,5.0,0.15,0.38,0.61,66700.0,6900.0,0.18,0.16,0.17,0.12,6235.0,EX
内川 幸太郎,15.0,185.0,25.0,2.53,5.0,1.0,5.0,4.0,0.33,0.4,0.73,48500.0,7131.25,0.15,0.2,0.17,0.09,4552.94,sakura
岡田 紗佳,13.0,146.0,-240.4,2.96,1.0,3.0,4.0,5.0,0.07,0.3,0.61,50500.0,6210.34,0.17,0.21,0.19,0.13,6700.0,sakura
沢崎 誠,17.0,218.0,349.0,2.0,8.0,3.0,4.0,2.0,0.47,0.64,0.88,48900.0,6106.52,0.21,0.17,0.21,0.05,5833.33,sakura
堀 慎吾,19.0,215.0,130.5,2.28,4.0,7.0,6.0,2.0,0.21,0.57,0.89,61800.0,6028.84,0.22,0.2,0.24,0.08,6533.33,sakura
滝沢 和典,17.0,211.0,138.8,2.29,5.0,6.0,2.0,4.0,0.29,0.64,0.76,62600.0,7438.63,0.16,0.16,0.2,0.09,5595.23,konami
佐々木 寿人,18.0,216.0,-160.0,2.83,5.0,2.0,2.0,9.0,0.27,0.38,0.5,60200.0,7566.66,0.17,0.22,0.13,0.11,5112.0,konami
高宮 まり,14.0,171.0,-199.6,2.82,3.0,1.0,5.0,5.0,0.21,0.28,0.64,52100.0,6378.12,0.18,0.17,0.18,0.11,6900.0,konami
伊達 朱里紗,15.0,182.0,190.4,2.33,5.0,3.0,4.0,3.0,0.33,0.53,0.8,105500.0,7647.61,0.23,0.25,0.23,0.11,5800.0,konami
多井 隆晴,17.0,189.0,104.7,2.29,4.0,5.0,7.0,1.0,0.23,0.52,0.94,51900.0,6762.16,0.21,0.22,0.19,0.07,5271.42,abemas
白鳥 翔,17.0,209.0,104.1,2.29,5.0,4.0,6.0,2.0,0.29,0.52,0.88,49700.0,6757.5,0.23,0.19,0.19,0.09,5740.0,abemas
松本 吉弘,18.0,209.0,153.2,2.27,5.0,6.0,4.0,3.0,0.27,0.61,0.83,47000.0,7060.41,0.21,0.2,0.22,0.08,5600.0,abemas
日向 藍子,12.0,145.0,-209.7,2.91,1.0,2.0,6.0,3.0,0.08,0.25,0.75,51300.0,5860.0,0.15,0.23,0.17,0.08,5707.69,abemas
魚谷 侑未,17.0,195.0,-25.1,2.52,5.0,2.0,6.0,4.0,0.29,0.41,0.76,45500.0,6539.02,0.24,0.16,0.21,0.09,6505.55,sega_summy
近藤 誠一,18.0,220.0,-89.2,2.66,4.0,4.0,4.0,6.0,0.22,0.44,0.66,57200.0,7432.35,0.16,0.15,0.15,0.1,5478.26,sega_summy
茅森 早香,16.0,211.0,95.8,2.25,3.0,8.0,3.0,2.0,0.18,0.68,0.87,62100.0,8745.0,0.2,0.28,0.18,0.14,5883.33,sega_summy
東城 りお,13.0,160.0,68.7,2.46,4.0,2.0,4.0,3.0,0.3,0.46,0.76,77200.0,6417.07,0.2,0.23,0.25,0.14,4686.95,sega_summy
