,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,24.0,281.0,-0.3,2.45,4.0,9.0,7.0,4.0,0.16,0.54,0.83,60300.0,6422.95,0.35,0.23,0.21,0.08,6692.0,drivens
村上 淳,21.0,243.0,-372.4,2.85,4.0,3.0,6.0,8.0,0.19,0.33,0.61,68600.0,7078.12,0.16,0.24,0.13,0.15,5583.78,drivens
鈴木 たろう,26.0,320.0,120.2,2.38,9.0,5.0,5.0,7.0,0.34,0.53,0.73,56400.0,6688.05,0.26,0.19,0.2,0.11,5963.15,drivens
丸山 奏子,11.0,122.0,61.3,2.45,4.0,1.0,3.0,3.0,0.36,0.45,0.72,60500.0,5726.66,0.26,0.2,0.24,0.1,5153.84,drivens
二階堂 亜樹,20.0,264.0,113.0,2.29,4.0,10.0,2.0,4.0,0.2,0.7,0.8,53800.0,7276.78,0.15,0.24,0.21,0.1,5281.48,EX
勝又 健志,20.0,255.0,151.6,2.25,8.0,3.0,5.0,4.0,0.4,0.55,0.8,50500.0,6926.53,0.26,0.17,0.19,0.1,5546.42,EX
松ヶ瀬 隆弥,25.0,291.0,347.5,2.24,9.0,6.0,5.0,5.0,0.36,0.6,0.8,62300.0,7068.65,0.17,0.23,0.23,0.09,4851.72,EX
二階堂 瑠美,17.0,209.0,-279.8,2.91,3.0,3.0,3.0,8.0,0.17,0.35,0.52,66700.0,6822.22,0.18,0.18,0.17,0.12,6122.22,EX
内川 幸太郎,18.0,222.0,-139.7,2.72,5.0,1.0,6.0,6.0,0.27,0.33,0.66,48500.0,6769.44,0.15,0.2,0.16,0.11,5344.0,sakura
岡田 紗佳,16.0,178.0,-261.8,2.9,1.0,5.0,4.0,6.0,0.06,0.37,0.62,50500.0,5938.88,0.17,0.21,0.2,0.13,6416.66,sakura
沢崎 誠,22.0,277.0,323.7,2.09,8.0,7.0,4.0,3.0,0.36,0.68,0.86,48900.0,6025.45,0.22,0.17,0.19,0.05,5568.75,sakura
堀 慎吾,26.0,295.0,252.0,2.21,7.0,8.0,9.0,2.0,0.26,0.57,0.92,61800.0,6210.14,0.25,0.18,0.23,0.09,6114.28,sakura
滝沢 和典,21.0,258.0,339.7,2.09,8.0,7.0,2.0,4.0,0.38,0.71,0.8,62600.0,7347.36,0.14,0.19,0.22,0.08,5704.54,konami
佐々木 寿人,23.0,281.0,-206.1,2.82,6.0,3.0,3.0,11.0,0.26,0.39,0.52,60200.0,7417.07,0.16,0.24,0.14,0.1,5313.33,konami
高宮 まり,19.0,244.0,-213.7,2.81,4.0,1.0,8.0,6.0,0.21,0.26,0.68,64500.0,6304.16,0.18,0.17,0.19,0.1,6534.61,konami
伊達 朱里紗,19.0,235.0,262.8,2.26,7.0,4.0,4.0,4.0,0.36,0.57,0.78,105500.0,7065.45,0.25,0.24,0.23,0.1,5392.0,konami
多井 隆晴,23.0,273.0,182.5,2.21,5.0,9.0,8.0,1.0,0.21,0.6,0.95,51900.0,6376.36,0.2,0.2,0.2,0.06,5288.23,abemas
白鳥 翔,21.0,256.0,54.6,2.38,5.0,5.0,9.0,2.0,0.23,0.47,0.9,49700.0,6643.75,0.22,0.18,0.18,0.09,5604.16,abemas
松本 吉弘,23.0,275.0,158.8,2.34,6.0,8.0,4.0,5.0,0.26,0.6,0.78,80200.0,7018.46,0.21,0.2,0.23,0.07,6233.33,abemas
日向 藍子,15.0,173.0,-110.4,2.66,3.0,2.0,7.0,3.0,0.2,0.33,0.8,51300.0,6323.33,0.15,0.23,0.17,0.08,5578.57,abemas
魚谷 侑未,23.0,264.0,-27.6,2.56,6.0,4.0,7.0,6.0,0.26,0.43,0.73,58800.0,6540.35,0.24,0.16,0.21,0.09,6429.16,sega_summy
近藤 誠一,21.0,252.0,-79.0,2.61,5.0,4.0,6.0,6.0,0.23,0.42,0.71,57200.0,7469.23,0.17,0.15,0.15,0.1,5229.62,sega_summy
茅森 早香,23.0,303.0,245.6,2.17,7.0,9.0,3.0,4.0,0.3,0.69,0.82,62100.0,8605.17,0.19,0.26,0.19,0.13,5453.65,sega_summy
東城 りお,15.0,178.0,107.7,2.4,5.0,2.0,5.0,3.0,0.33,0.46,0.8,77200.0,6513.33,0.2,0.23,0.25,0.14,4712.0,sega_summy
萩原 聖人,20.0,241.0,-350.9,2.95,1.0,5.0,8.0,6.0,0.05,0.3,0.7,44700.0,7442.85,0.12,0.29,0.14,0.09,5245.83,raiden
瀬戸熊 直樹,19.0,231.0,-417.9,3.05,2.0,4.0,4.0,9.0,0.1,0.31,0.52,48400.0,6816.12,0.14,0.26,0.13,0.16,4984.21,raiden
黒沢 咲,21.0,266.0,-270.5,2.8,4.0,5.0,3.0,9.0,0.19,0.42,0.57,53500.0,6566.66,0.07,0.23,0.16,0.11,5226.66,raiden
本田 朋広,22.0,270.0,-302.2,2.79,2.0,6.0,8.0,6.0,0.09,0.36,0.72,47400.0,6207.14,0.2,0.21,0.15,0.11,5422.58,raiden
小林 剛,26.0,317.0,98.5,2.44,6.0,7.0,8.0,5.0,0.23,0.5,0.8,54200.0,6158.57,0.33,0.16,0.22,0.09,5317.24,u-next
朝倉 康心,20.0,256.0,60.2,2.5,6.0,5.0,2.0,7.0,0.3,0.55,0.65,102400.0,6249.15,0.24,0.23,0.23,0.1,7080.76,u-next
石橋 伸洋,16.0,191.0,-295.3,2.93,2.0,2.0,7.0,5.0,0.12,0.25,0.68,58600.0,6145.45,0.24,0.19,0.17,0.1,6125.0,u-next
瑞原 明奈,20.0,227.0,427.9,1.9,7.0,10.0,1.0,2.0,0.35,0.85,0.9,66100.0,6190.16,0.19,0.29,0.26,0.05,4169.23,u-next
