,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,6.0,78.0,-100.9,2.83,1.0,1.0,2.0,2.0,0.16,0.33,0.66,37300.0,4708.33,0.33,0.2,0.15,0.11,5433.33,drivens
村上 淳,3.0,40.0,-43.7,2.66,0.0,1.0,2.0,0.0,0.0,0.33,1.0,30000.0,2175.0,0.25,0.15,0.1,0.02,8000.0,drivens
鈴木 たろう,4.0,48.0,-93.4,3.0,0.0,1.0,2.0,1.0,0.0,0.25,0.75,31700.0,5044.44,0.29,0.16,0.18,0.16,6037.5,drivens
丸山 奏子,3.0,39.0,-87.1,3.0,0.0,1.0,1.0,1.0,0.0,0.33,0.66,46700.0,7275.0,0.17,0.28,0.1,0.12,5180.0,drivens
二階堂 亜樹,3.0,32.0,-139.5,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,15600.0,5220.0,0.15,0.21,0.15,0.18,8600.0,EX
勝又 健志,5.0,67.0,-11.5,2.4,1.0,2.0,1.0,1.0,0.2,0.6,0.8,42400.0,6206.66,0.19,0.26,0.22,0.13,8011.11,EX
松ヶ瀬 隆弥,4.0,43.0,83.3,2.0,2.0,1.0,0.0,1.0,0.5,0.75,0.75,51200.0,8066.66,0.16,0.27,0.2,0.04,5950.0,EX
二階堂 瑠美,4.0,42.0,10.9,2.5,2.0,0.0,0.0,2.0,0.5,0.5,0.5,51500.0,7350.0,0.16,0.19,0.19,0.21,5222.22,EX
内川 幸太郎,3.0,37.0,30.1,2.33,1.0,1.0,0.0,1.0,0.33,0.66,0.66,59600.0,6857.14,0.35,0.27,0.18,0.08,3133.33,sakura
岡田 紗佳,4.0,51.0,85.8,2.0,2.0,0.0,2.0,0.0,0.5,0.5,1.0,53700.0,7000.0,0.19,0.25,0.23,0.11,3466.66,sakura
堀 慎吾,4.0,52.0,98.2,2.0,2.0,1.0,0.0,1.0,0.5,0.75,0.75,57400.0,7114.28,0.34,0.19,0.26,0.19,4840.0,sakura
