,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,15.0,175.0,78.3,2.4,4.0,4.0,4.0,3.0,0.26,0.53,0.8,60300.0,6467.56,0.37,0.2,0.21,0.08,6657.14,drivens
村上 淳,13.0,141.0,-371.0,3.07,2.0,1.0,4.0,6.0,0.15,0.23,0.53,45200.0,6600.0,0.17,0.24,0.11,0.16,6891.3,drivens
鈴木 たろう,14.0,158.0,27.7,2.42,4.0,4.0,2.0,4.0,0.28,0.57,0.71,47900.0,6793.75,0.22,0.18,0.2,0.12,5560.0,drivens
丸山 奏子,8.0,86.0,25.7,2.5,3.0,1.0,1.0,3.0,0.37,0.5,0.62,60500.0,6185.0,0.27,0.2,0.23,0.11,5160.0,drivens
二階堂 亜樹,12.0,156.0,70.2,2.25,1.0,9.0,0.0,2.0,0.08,0.83,0.83,53000.0,7003.12,0.14,0.23,0.2,0.08,4657.14,EX
勝又 健志,13.0,171.0,99.4,2.23,6.0,1.0,3.0,3.0,0.46,0.53,0.76,50500.0,7114.28,0.29,0.19,0.2,0.12,5827.27,EX
松ヶ瀬 隆弥,13.0,144.0,197.2,2.23,5.0,3.0,2.0,3.0,0.38,0.61,0.76,60100.0,7268.57,0.13,0.26,0.24,0.11,3982.35,EX
二階堂 瑠美,12.0,148.0,-139.8,2.7,2.0,3.0,3.0,4.0,0.16,0.41,0.66,66700.0,7203.84,0.18,0.17,0.17,0.12,6494.73,EX
内川 幸太郎,12.0,152.0,13.7,2.58,4.0,1.0,3.0,4.0,0.33,0.41,0.66,48500.0,7608.0,0.15,0.22,0.16,0.09,4400.0,sakura
岡田 紗佳,11.0,122.0,-247.7,3.04,0.0,3.0,4.0,4.0,0.0,0.27,0.63,33500.0,5430.76,0.18,0.25,0.21,0.13,6800.0,sakura
沢崎 誠,12.0,156.0,158.6,2.16,5.0,2.0,3.0,2.0,0.41,0.58,0.83,48200.0,6463.33,0.14,0.19,0.19,0.06,5620.0,sakura
堀 慎吾,15.0,166.0,203.3,2.1,4.0,6.0,4.0,1.0,0.26,0.66,0.93,61800.0,6265.85,0.23,0.18,0.24,0.07,5976.92,sakura
滝沢 和典,13.0,156.0,155.4,2.23,5.0,3.0,2.0,3.0,0.38,0.61,0.76,62600.0,7244.44,0.14,0.19,0.23,0.11,5477.77,konami
佐々木 寿人,13.0,157.0,44.5,2.53,5.0,1.0,2.0,5.0,0.38,0.46,0.61,60200.0,7443.47,0.14,0.19,0.14,0.07,3390.9,konami
高宮 まり,12.0,147.0,-98.0,2.7,3.0,1.0,4.0,4.0,0.25,0.33,0.66,52100.0,6436.66,0.19,0.17,0.2,0.1,7068.75,konami
伊達 朱里紗,12.0,146.0,248.4,2.16,5.0,2.0,3.0,2.0,0.41,0.58,0.83,105500.0,7936.11,0.26,0.25,0.24,0.12,5211.11,konami
多井 隆晴,12.0,133.0,71.3,2.33,3.0,3.0,5.0,1.0,0.25,0.5,0.91,51900.0,6203.7,0.18,0.24,0.2,0.07,5060.0,abemas
白鳥 翔,14.0,169.0,14.4,2.42,3.0,4.0,5.0,2.0,0.21,0.5,0.85,49700.0,7153.12,0.21,0.18,0.18,0.11,5889.47,abemas
松本 吉弘,14.0,163.0,124.2,2.28,4.0,5.0,2.0,3.0,0.28,0.64,0.78,47000.0,7013.51,0.2,0.17,0.22,0.04,5675.0,abemas
日向 藍子,10.0,124.0,-187.4,3.0,1.0,1.0,5.0,3.0,0.1,0.2,0.7,51300.0,5863.63,0.17,0.25,0.17,0.08,5863.63,abemas
魚谷 侑未,13.0,147.0,32.8,2.46,4.0,1.0,6.0,2.0,0.3,0.38,0.84,44800.0,6950.0,0.23,0.18,0.2,0.1,6480.0,sega_summy
近藤 誠一,14.0,175.0,11.3,2.5,3.0,4.0,4.0,3.0,0.21,0.5,0.78,57200.0,7610.34,0.17,0.16,0.16,0.09,4764.7,sega_summy
茅森 早香,13.0,176.0,3.0,2.38,2.0,6.0,3.0,2.0,0.15,0.61,0.84,62100.0,8321.21,0.2,0.29,0.18,0.15,5907.4,sega_summy
東城 りお,10.0,125.0,45.0,2.5,3.0,2.0,2.0,3.0,0.3,0.5,0.7,77200.0,6183.87,0.22,0.2,0.24,0.12,3773.33,sega_summy
萩原 聖人,12.0,141.0,-133.6,2.75,1.0,4.0,4.0,3.0,0.08,0.41,0.75,38600.0,6800.0,0.11,0.29,0.18,0.12,5323.52,raiden
瀬戸熊 直樹,12.0,134.0,-201.2,3.0,2.0,2.0,2.0,6.0,0.16,0.33,0.5,48400.0,6742.85,0.13,0.23,0.15,0.14,5145.0,raiden
黒沢 咲,12.0,153.0,-14.0,2.5,4.0,2.0,2.0,4.0,0.33,0.5,0.66,53500.0,6773.33,0.09,0.23,0.19,0.09,6673.33,raiden
本田 朋広,14.0,174.0,-238.2,2.89,1.0,4.0,4.0,5.0,0.07,0.35,0.64,47400.0,6324.0,0.22,0.17,0.14,0.12,5719.04,raiden
小林 剛,13.0,153.0,-64.1,2.65,2.0,2.0,7.0,2.0,0.15,0.3,0.84,40800.0,5984.84,0.32,0.18,0.21,0.09,5560.0,u-next
朝倉 康心,14.0,186.0,132.1,2.28,4.0,5.0,2.0,3.0,0.28,0.64,0.78,102400.0,6300.0,0.25,0.25,0.24,0.09,7183.33,u-next
石橋 伸洋,11.0,128.0,-190.5,2.9,1.0,2.0,5.0,3.0,0.09,0.27,0.72,58600.0,6876.19,0.26,0.21,0.16,0.11,5853.33,u-next
瑞原 明奈,12.0,134.0,129.0,2.08,3.0,7.0,0.0,2.0,0.25,0.83,0.83,43300.0,5576.47,0.17,0.31,0.25,0.07,3840.0,u-next
