,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,10.0,112.0,38.3,2.4,2.0,3.0,4.0,1.0,0.2,0.5,0.9,44600.0,5368.0,0.34,0.23,0.22,0.07,6975.0,drivens
村上 淳,8.0,86.0,-305.2,3.25,1.0,1.0,1.0,5.0,0.12,0.25,0.37,45200.0,5900.0,0.19,0.19,0.1,0.22,6957.89,drivens
鈴木 たろう,9.0,106.0,35.4,2.33,3.0,2.0,2.0,2.0,0.33,0.55,0.77,47900.0,7538.88,0.17,0.18,0.16,0.12,5507.69,drivens
丸山 奏子,5.0,53.0,47.3,2.2,2.0,1.0,1.0,1.0,0.4,0.6,0.8,35600.0,5183.33,0.3,0.18,0.22,0.11,3516.66,drivens
二階堂 亜樹,8.0,104.0,89.3,2.12,1.0,6.0,0.0,1.0,0.12,0.87,0.87,53000.0,6845.83,0.15,0.23,0.23,0.08,5833.33,EX
勝又 健志,9.0,122.0,280.7,1.66,6.0,1.0,1.0,1.0,0.66,0.77,0.88,50500.0,7072.41,0.31,0.18,0.23,0.1,5200.0,EX
松ヶ瀬 隆弥,8.0,91.0,188.5,2.0,4.0,1.0,2.0,1.0,0.5,0.62,0.87,60100.0,7352.38,0.13,0.24,0.23,0.1,3540.0,EX
二階堂 瑠美,7.0,85.0,43.8,2.28,2.0,3.0,0.0,2.0,0.28,0.71,0.71,66700.0,6890.47,0.2,0.22,0.24,0.14,6941.66,EX
内川 幸太郎,7.0,89.0,-28.9,2.71,2.0,1.0,1.0,3.0,0.28,0.42,0.57,44300.0,8316.66,0.15,0.21,0.13,0.12,3800.0,sakura
岡田 紗佳,7.0,79.0,-153.1,2.92,0.0,2.0,3.0,2.0,0.0,0.28,0.71,33500.0,6550.0,0.17,0.25,0.2,0.15,7825.0,sakura
沢崎 誠,8.0,102.0,126.6,2.12,4.0,1.0,1.0,2.0,0.5,0.62,0.75,48200.0,6485.0,0.18,0.17,0.19,0.04,5340.0,sakura
堀 慎吾,10.0,115.0,176.4,2.04,3.0,4.0,2.0,1.0,0.3,0.7,0.9,61800.0,6493.1,0.22,0.17,0.25,0.08,5850.0,sakura
滝沢 和典,8.0,94.0,163.9,2.0,4.0,1.0,2.0,1.0,0.5,0.62,0.87,62600.0,7062.5,0.14,0.2,0.25,0.11,4345.45,konami
佐々木 寿人,9.0,111.0,-78.7,2.88,3.0,0.0,1.0,5.0,0.33,0.33,0.44,56200.0,5493.75,0.13,0.21,0.14,0.07,4050.0,konami
高宮 まり,7.0,84.0,-12.9,2.64,2.0,0.0,3.0,2.0,0.28,0.28,0.71,52100.0,5966.66,0.22,0.17,0.21,0.07,5766.66,konami
