,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,21.0,245.0,70.3,2.38,4.0,8.0,6.0,3.0,0.19,0.57,0.85,60300.0,6373.58,0.35,0.24,0.21,0.09,6230.43,drivens
村上 淳,19.0,215.0,-338.3,2.89,4.0,2.0,5.0,8.0,0.21,0.31,0.57,68600.0,6532.25,0.17,0.26,0.14,0.15,5975.75,drivens
鈴木 たろう,23.0,275.0,126.7,2.34,8.0,5.0,4.0,6.0,0.34,0.56,0.73,48200.0,6807.27,0.26,0.18,0.2,0.12,5412.12,drivens
丸山 奏子,11.0,122.0,61.3,2.45,4.0,1.0,3.0,3.0,0.36,0.45,0.72,60500.0,5726.66,0.26,0.2,0.24,0.1,5153.84,drivens
二階堂 亜樹,17.0,224.0,61.1,2.35,3.0,9.0,1.0,4.0,0.17,0.7,0.76,53800.0,6940.0,0.16,0.22,0.2,0.08,5436.84,EX
勝又 健志,19.0,243.0,88.0,2.31,7.0,3.0,5.0,4.0,0.36,0.52,0.78,50500.0,6866.66,0.26,0.17,0.18,0.11,5455.55,EX
松ヶ瀬 隆弥,23.0,269.0,282.6,2.26,8.0,6.0,4.0,5.0,0.34,0.6,0.78,60100.0,6898.38,0.17,0.23,0.23,0.1,4851.72,EX
二階堂 瑠美,15.0,186.0,-178.0,2.76,3.0,3.0,3.0,6.0,0.2,0.4,0.6,66700.0,6727.27,0.17,0.16,0.17,0.1,6235.0,EX
内川 幸太郎,17.0,207.0,-104.4,2.7,5.0,1.0,5.0,6.0,0.29,0.35,0.64,48500.0,7041.17,0.14,0.2,0.16,0.1,5604.54,sakura
岡田 紗佳,15.0,169.0,-209.9,2.83,1.0,5.0,4.0,5.0,0.06,0.4,0.66,50500.0,5938.88,0.18,0.22,0.21,0.13,6347.82,sakura
沢崎 誠,19.0,240.0,306.2,2.1,8.0,4.0,4.0,3.0,0.42,0.63,0.84,48900.0,6138.77,0.21,0.18,0.2,0.05,5650.0,sakura
堀 慎吾,23.0,265.0,79.8,2.36,4.0,8.0,9.0,2.0,0.17,0.52,0.91,61800.0,5914.51,0.24,0.18,0.23,0.09,6548.0,sakura
滝沢 和典,18.0,221.0,217.9,2.22,6.0,6.0,2.0,4.0,0.33,0.66,0.77,62600.0,7456.25,0.15,0.18,0.21,0.09,5595.23,konami
