,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,4.0,50.0,-24.9,2.5,1.0,1.0,1.0,1.0,0.25,0.5,0.75,37300.0,4980.0,0.34,0.18,0.2,0.1,7400.0,drivens
村上 淳,3.0,40.0,-43.7,2.66,0.0,1.0,2.0,0.0,0.0,0.33,1.0,30000.0,2175.0,0.25,0.15,0.1,0.02,8000.0,drivens
鈴木 たろう,3.0,35.0,-37.9,2.66,0.0,1.0,2.0,0.0,0.0,0.33,1.0,31700.0,5350.0,0.28,0.2,0.22,0.17,6383.33,drivens
丸山 奏子,2.0,27.0,-113.8,3.5,0.0,0.0,1.0,1.0,0.0,0.0,0.5,12200.0,8000.0,0.14,0.25,0.03,0.18,5180.0,drivens
二階堂 亜樹,2.0,23.0,-95.1,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14700.0,5666.66,0.13,0.21,0.13,0.17,8925.0,EX
勝又 健志,3.0,40.0,-73.3,3.0,0.0,1.0,1.0,1.0,0.0,0.33,0.66,23700.0,6262.5,0.17,0.25,0.2,0.15,8716.66,EX
松ヶ瀬 隆弥,4.0,43.0,83.3,2.0,2.0,1.0,0.0,1.0,0.5,0.75,0.75,51200.0,8066.66,0.16,0.27,0.2,0.04,5950.0,EX
二階堂 瑠美,3.0,30.0,-60.6,3.0,1.0,0.0,0.0,2.0,0.33,0.33,0.33,38700.0,5600.0,0.13,0.16,0.13,0.26,5625.0,EX
内川 幸太郎,3.0,37.0,30.1,2.33,1.0,1.0,0.0,1.0,0.33,0.66,0.66,59600.0,6857.14,0.35,0.27,0.18,0.08,3133.33,sakura
岡田 紗佳,3.0,38.0,17.5,2.33,1.0,0.0,2.0,0.0,0.33,0.33,1.0,53700.0,7657.14,0.21,0.23,0.18,0.13,3640.0,sakura
堀 慎吾,3.0,41.0,44.3,2.33,1.0,1.0,0.0,1.0,0.33,0.66,0.66,57400.0,6583.33,0.39,0.19,0.29,0.21,4488.88,sakura
渋川 難波,3.0,37.0,-20.1,2.66,0.0,2.0,0.0,1.0,0.0,0.66,0.66,39900.0,6657.14,0.35,0.13,0.18,0.16,3716.66,sakura
滝沢 和典,3.0,32.0,-40.0,3.0,0.0,1.0,1.0,1.0,0.0,0.33,0.66,44200.0,7214.28,0.15,0.21,0.21,0.09,5666.66,konami
佐々木 寿人,3.0,36.0,37.8,2.33,1.0,1.0,0.0,1.0,0.33,0.66,0.66,41100.0,8257.14,0.19,0.22,0.19,0.08,4966.66,konami
高宮 まり,3.0,36.0,15.1,2.33,0.0,2.0,1.0,0.0,0.0,0.66,1.0,35200.0,9485.71,0.33,0.13,0.19,0.08,4933.33,konami
伊達 朱里紗,3.0,41.0,143.2,1.33,2.0,1.0,0.0,0.0,0.66,1.0,1.0,58800.0,9987.5,0.19,0.17,0.19,0.04,5000.0,konami
多井 隆晴,3.0,41.0,126.0,1.33,2.0,1.0,0.0,0.0,0.66,1.0,1.0,46000.0,5991.66,0.12,0.29,0.29,0.12,3240.0,abemas
白鳥 翔,3.0,42.0,71.1,2.0,1.0,1.0,1.0,0.0,0.33,0.66,1.0,77200.0,5457.14,0.3,0.09,0.33,0.09,5875.0,abemas
松本 吉弘,3.0,29.0,132.3,1.33,2.0,1.0,0.0,0.0,0.66,1.0,1.0,49300.0,5545.45,0.27,0.24,0.37,0.13,5150.0,abemas
日向 藍子,3.0,30.0,48.4,2.0,1.0,1.0,1.0,0.0,0.33,0.66,1.0,37700.0,7420.0,0.33,0.16,0.16,0.06,5950.0,abemas
魚谷 侑未,3.0,39.0,54.1,2.0,1.0,1.0,1.0,0.0,0.33,0.66,1.0,40400.0,8500.0,0.17,0.2,0.17,0.05,1800.0,sega_summy
近藤 誠一,3.0,32.0,-117.8,3.33,0.0,0.0,2.0,1.0,0.0,0.0,0.66,21900.0,7333.33,0.15,0.31,0.09,0.12,6950.0,sega_summy
茅森 早香,3.0,47.0,21.3,2.66,1.0,0.0,1.0,1.0,0.33,0.33,0.66,90000.0,8880.0,0.21,0.38,0.21,0.21,6510.0,sega_summy
東城 りお,3.0,41.0,-18.0,2.66,1.0,0.0,1.0,1.0,0.33,0.33,0.66,35700.0,6950.0,0.07,0.17,0.09,0.07,4500.0,sega_summy
萩原 聖人,2.0,30.0,-82.6,3.5,0.0,0.0,1.0,1.0,0.0,0.0,0.5,22900.0,4000.0,0.06,0.23,0.06,0.1,3600.0,raiden
瀬戸熊 直樹,4.0,56.0,54.4,2.25,1.0,1.0,2.0,0.0,0.25,0.5,1.0,53900.0,6933.33,0.12,0.23,0.26,0.07,7650.0,raiden
黒沢 咲,3.0,34.0,20.6,2.33,1.0,1.0,0.0,1.0,0.33,0.66,0.66,48300.0,6137.5,0.05,0.29,0.23,0.05,5500.0,raiden
本田 朋広,3.0,34.0,-36.6,3.0,1.0,0.0,0.0,2.0,0.33,0.33,0.33,54600.0,6600.0,0.29,0.2,0.2,0.08,6133.33,raiden
小林 剛,3.0,41.0,-82.3,3.33,0.0,0.0,2.0,1.0,0.0,0.0,0.66,22000.0,4033.33,0.29,0.17,0.21,0.14,6416.66,u-next
瑞原 明奈,2.0,19.0,69.7,1.5,1.0,1.0,0.0,0.0,0.5,1.0,1.0,34900.0,9875.0,0.15,0.15,0.21,0.05,2000.0,u-next
鈴木 優,4.0,44.0,-11.1,2.5,1.0,1.0,1.0,1.0,0.25,0.5,0.75,44400.0,6750.0,0.25,0.29,0.22,0.11,6840.0,u-next
仲林 圭,3.0,43.0,-111.4,3.33,0.0,1.0,0.0,2.0,0.0,0.33,0.33,30200.0,6700.0,0.23,0.11,0.09,0.13,7066.66,u-next
