,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,6.0,78.0,-100.9,2.83,1.0,1.0,2.0,2.0,0.16,0.33,0.66,37300.0,4708.33,0.33,0.2,0.15,0.11,5433.33,drivens
村上 淳,4.0,49.0,-102.6,3.0,0.0,1.0,2.0,1.0,0.0,0.25,0.75,30000.0,2175.0,0.22,0.22,0.08,0.04,5000.0,drivens
鈴木 たろう,5.0,60.0,-95.3,2.8,0.0,2.0,2.0,1.0,0.0,0.4,0.8,31700.0,5740.0,0.26,0.16,0.16,0.15,6255.55,drivens
丸山 奏子,3.0,39.0,-87.1,3.0,0.0,1.0,1.0,1.0,0.0,0.33,0.66,46700.0,7275.0,0.17,0.28,0.1,0.12,5180.0,drivens
二階堂 亜樹,4.0,42.0,-135.1,3.5,0.0,1.0,0.0,3.0,0.0,0.25,0.25,24400.0,5683.33,0.16,0.19,0.14,0.19,7425.0,EX
勝又 健志,5.0,67.0,-11.5,2.4,1.0,2.0,1.0,1.0,0.2,0.6,0.8,42400.0,6206.66,0.19,0.26,0.22,0.13,8011.11,EX
松ヶ瀬 隆弥,5.0,59.0,150.5,1.8,3.0,1.0,0.0,1.0,0.6,0.8,0.8,51200.0,10050.0,0.22,0.25,0.2,0.08,6580.0,EX
二階堂 瑠美,4.0,42.0,10.9,2.5,2.0,0.0,0.0,2.0,0.5,0.5,0.5,51500.0,7350.0,0.16,0.19,0.19,0.21,5222.22,EX
内川 幸太郎,4.0,46.0,36.8,2.25,1.0,2.0,0.0,1.0,0.25,0.75,0.75,59600.0,6520.0,0.3,0.32,0.21,0.08,2850.0,sakura
岡田 紗佳,4.0,51.0,85.8,2.0,2.0,0.0,2.0,0.0,0.5,0.5,1.0,53700.0,7000.0,0.19,0.25,0.23,0.11,3466.66,sakura
堀 慎吾,4.0,52.0,98.2,2.0,2.0,1.0,0.0,1.0,0.5,0.75,0.75,57400.0,7114.28,0.34,0.19,0.26,0.19,4840.0,sakura
渋川 難波,6.0,69.0,-117.6,3.0,0.0,2.0,2.0,2.0,0.0,0.33,0.66,39900.0,6380.0,0.23,0.11,0.14,0.21,3553.33,sakura
滝沢 和典,4.0,43.0,-86.1,3.25,0.0,1.0,1.0,2.0,0.0,0.25,0.5,44200.0,6437.5,0.13,0.23,0.18,0.09,6250.0,konami
佐々木 寿人,5.0,55.0,170.2,1.8,3.0,1.0,0.0,1.0,0.6,0.8,0.8,49200.0,6500.0,0.25,0.18,0.29,0.05,4966.66,konami
