,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,9.0,101.0,54.4,2.33,2.0,3.0,3.0,1.0,0.22,0.55,0.88,44600.0,5317.39,0.34,0.21,0.22,0.06,6828.57,drivens
村上 淳,8.0,86.0,-305.2,3.25,1.0,1.0,1.0,5.0,0.12,0.25,0.37,45200.0,5900.0,0.19,0.19,0.1,0.22,6957.89,drivens
鈴木 たろう,8.0,94.0,61.2,2.25,3.0,2.0,1.0,2.0,0.37,0.62,0.75,47900.0,7276.47,0.18,0.18,0.18,0.1,5970.0,drivens
丸山 奏子,5.0,53.0,47.3,2.2,2.0,1.0,1.0,1.0,0.4,0.6,0.8,35600.0,5183.33,0.3,0.18,0.22,0.11,3516.66,drivens
二階堂 亜樹,7.0,87.0,75.4,2.14,1.0,5.0,0.0,1.0,0.14,0.85,0.85,53000.0,7073.68,0.16,0.18,0.21,0.09,5062.5,EX
勝又 健志,8.0,106.0,224.7,1.75,5.0,1.0,1.0,1.0,0.62,0.75,0.87,50500.0,6676.92,0.33,0.16,0.24,0.1,5327.27,EX
松ヶ瀬 隆弥,8.0,91.0,188.5,2.0,4.0,1.0,2.0,1.0,0.5,0.62,0.87,60100.0,7352.38,0.13,0.24,0.23,0.1,3540.0,EX
二階堂 瑠美,7.0,85.0,43.8,2.28,2.0,3.0,0.0,2.0,0.28,0.71,0.71,66700.0,6890.47,0.2,0.22,0.24,0.14,6941.66,EX
内川 幸太郎,7.0,89.0,-28.9,2.71,2.0,1.0,1.0,3.0,0.28,0.42,0.57,44300.0,8316.66,0.15,0.21,0.13,0.12,3800.0,sakura
岡田 紗佳,6.0,62.0,-123.1,2.91,0.0,2.0,2.0,2.0,0.0,0.33,0.66,33500.0,6776.92,0.19,0.25,0.2,0.16,7990.0,sakura
沢崎 誠,7.0,86.0,187.6,1.85,4.0,1.0,1.0,1.0,0.57,0.71,0.85,48200.0,6668.42,0.22,0.17,0.22,0.05,5340.0,sakura
堀 慎吾,10.0,115.0,176.4,2.04,3.0,4.0,2.0,1.0,0.3,0.7,0.9,61800.0,6493.1,0.22,0.17,0.25,0.08,5850.0,sakura
滝沢 和典,8.0,94.0,163.9,2.0,4.0,1.0,2.0,1.0,0.5,0.62,0.87,62600.0,7062.5,0.14,0.2,0.25,0.11,4345.45,konami
佐々木 寿人,9.0,111.0,-78.7,2.88,3.0,0.0,1.0,5.0,0.33,0.33,0.44,56200.0,5493.75,0.13,0.21,0.14,0.07,4050.0,konami
高宮 まり,6.0,72.0,33.4,2.41,2.0,0.0,3.0,1.0,0.33,0.33,0.83,52100.0,5966.66,0.22,0.2,0.25,0.08,5766.66,konami
伊達 朱里紗,7.0,95.0,217.9,2.0,3.0,1.0,3.0,0.0,0.42,0.57,1.0,105500.0,8650.0,0.26,0.24,0.25,0.12,5141.66,konami
多井 隆晴,7.0,76.0,19.3,2.42,2.0,1.0,3.0,1.0,0.28,0.42,0.85,51900.0,5164.28,0.18,0.23,0.18,0.11,4733.33,abemas
白鳥 翔,8.0,95.0,70.0,2.25,2.0,2.0,4.0,0.0,0.25,0.5,1.0,43500.0,7163.15,0.21,0.2,0.2,0.11,4327.27,abemas
松本 吉弘,7.0,76.0,57.7,2.28,1.0,4.0,1.0,1.0,0.14,0.71,0.85,45400.0,6965.0,0.22,0.19,0.26,0.06,5440.0,abemas
日向 藍子,8.0,88.0,-189.0,3.12,0.0,1.0,5.0,2.0,0.0,0.12,0.75,35400.0,5600.0,0.15,0.26,0.15,0.1,4588.88,abemas
魚谷 侑未,9.0,107.0,-61.0,2.66,2.0,1.0,4.0,2.0,0.22,0.33,0.77,44800.0,6920.0,0.21,0.16,0.18,0.12,6615.38,sega_summy
近藤 誠一,8.0,94.0,-64.1,2.75,1.0,3.0,1.0,3.0,0.12,0.5,0.62,57200.0,7757.14,0.14,0.17,0.14,0.11,5518.18,sega_summy
茅森 早香,7.0,88.0,-50.9,2.57,1.0,3.0,1.0,2.0,0.14,0.57,0.71,52300.0,7957.14,0.17,0.29,0.15,0.14,6238.46,sega_summy
東城 りお,6.0,69.0,-53.3,3.0,1.0,1.0,1.0,3.0,0.16,0.33,0.5,77200.0,6329.41,0.17,0.23,0.24,0.1,4600.0,sega_summy
萩原 聖人,8.0,103.0,-153.3,3.0,1.0,1.0,3.0,3.0,0.12,0.25,0.62,38600.0,6435.29,0.11,0.27,0.16,0.13,5335.71,raiden
瀬戸熊 直樹,8.0,89.0,-59.7,2.75,2.0,2.0,0.0,4.0,0.25,0.5,0.5,48400.0,6828.57,0.11,0.26,0.15,0.15,5200.0,raiden
黒沢 咲,6.0,79.0,-101.3,2.83,1.0,1.0,2.0,2.0,0.16,0.33,0.66,30400.0,5852.94,0.08,0.2,0.21,0.13,6572.72,raiden
本田 朋広,8.0,97.0,-105.2,2.81,1.0,1.0,4.0,2.0,0.12,0.25,0.75,47400.0,7253.33,0.2,0.17,0.15,0.12,6416.66,raiden
小林 剛,7.0,84.0,-88.9,2.85,1.0,1.0,3.0,2.0,0.14,0.28,0.71,40800.0,6431.25,0.21,0.22,0.19,0.11,6160.0,u-next
朝倉 康心,10.0,134.0,-105.8,2.7,1.0,4.0,2.0,3.0,0.1,0.5,0.7,44900.0,5257.69,0.23,0.26,0.19,0.1,7742.85,u-next
石橋 伸洋,6.0,66.0,-102.0,2.83,0.0,2.0,3.0,1.0,0.0,0.33,0.83,37500.0,6053.84,0.31,0.15,0.19,0.1,6471.42,u-next
瑞原 明奈,7.0,72.0,48.9,2.14,1.0,5.0,0.0,1.0,0.14,0.85,0.85,33300.0,4235.0,0.19,0.3,0.27,0.09,3771.42,u-next
