,試合数,総局数,ポイント,平着,1位,2位,3位,4位,トップ率,連対率,ラス回避率,ベストスコア,平均打点,副露率,リーチ率,アガリ率,放銃率,放銃平均打点,チーム
園田 賢,8.0,100.0,13.4,2.37,3.0,1.0,2.0,2.0,0.37,0.5,0.75,39500.0,6607.14,0.31,0.19,0.14,0.09,5433.33,drivens
村上 淳,6.0,70.0,-124.1,2.83,0.0,2.0,3.0,1.0,0.0,0.33,0.83,30000.0,3471.42,0.21,0.21,0.1,0.07,3040.0,drivens
鈴木 たろう,6.0,86.0,-85.4,2.66,0.0,3.0,2.0,1.0,0.0,0.5,0.83,31700.0,6156.25,0.27,0.16,0.18,0.13,6141.66,drivens
丸山 奏子,4.0,48.0,-149.3,3.25,0.0,1.0,1.0,2.0,0.0,0.25,0.5,46700.0,7275.0,0.16,0.27,0.08,0.14,5971.42,drivens
二階堂 亜樹,6.0,63.0,-207.4,3.5,0.0,1.0,1.0,4.0,0.0,0.16,0.33,24400.0,5400.0,0.15,0.15,0.12,0.15,7000.0,EX
勝又 健志,7.0,88.0,72.9,2.14,2.0,3.0,1.0,1.0,0.28,0.71,0.85,61200.0,6500.0,0.18,0.22,0.22,0.1,8011.11,EX
松ヶ瀬 隆弥,6.0,76.0,166.2,1.83,3.0,2.0,0.0,1.0,0.5,0.83,0.83,51200.0,9475.0,0.19,0.28,0.21,0.07,6816.66,EX
二階堂 瑠美,5.0,53.0,-9.1,2.6,2.0,0.0,1.0,2.0,0.4,0.4,0.6,51500.0,6677.77,0.13,0.18,0.16,0.18,4900.0,EX
内川 幸太郎,5.0,58.0,-16.0,2.6,1.0,2.0,0.0,2.0,0.2,0.6,0.6,59600.0,6163.63,0.29,0.27,0.18,0.1,4300.0,sakura
岡田 紗佳,5.0,61.0,39.5,2.4,2.0,0.0,2.0,1.0,0.4,0.4,0.8,53700.0,6757.14,0.18,0.26,0.22,0.11,4114.28,sakura
堀 慎吾,6.0,73.0,3.0,2.66,2.0,1.0,0.0,3.0,0.33,0.5,0.5,57400.0,6631.25,0.35,0.19,0.21,0.16,4916.66,sakura
渋川 難波,8.0,104.0,-148.5,2.87,1.0,2.0,2.0,3.0,0.12,0.37,0.62,56700.0,7369.23,0.22,0.16,0.12,0.2,3852.38,sakura
滝沢 和典,6.0,77.0,-160.6,3.33,0.0,1.0,2.0,3.0,0.0,0.16,0.5,44200.0,7291.66,0.11,0.27,0.15,0.09,6100.0,konami
佐々木 寿人,6.0,66.0,181.6,1.83,3.0,2.0,0.0,1.0,0.5,0.83,0.83,49200.0,6663.15,0.22,0.19,0.28,0.06,5025.0,konami
高宮 まり,6.0,75.0,-12.7,2.5,1.0,2.0,2.0,1.0,0.16,0.5,0.83,48800.0,9025.0,0.26,0.22,0.16,0.1,6987.5,konami
伊達 朱里紗,6.0,79.0,85.9,2.16,2.0,2.0,1.0,1.0,0.33,0.66,0.83,58800.0,7207.14,0.24,0.12,0.17,0.03,3766.66,konami
多井 隆晴,6.0,76.0,74.1,2.0,2.0,3.0,0.0,1.0,0.33,0.83,0.83,46000.0,5984.21,0.22,0.23,0.25,0.15,5241.66,abemas
白鳥 翔,6.0,83.0,151.4,1.83,3.0,1.0,2.0,0.0,0.5,0.66,1.0,77200.0,5817.39,0.3,0.12,0.27,0.12,4720.0,abemas
松本 吉弘,6.0,69.0,130.2,2.0,3.0,1.0,1.0,1.0,0.5,0.66,0.83,57100.0,6573.68,0.2,0.24,0.27,0.15,5909.09,abemas
日向 藍子,6.0,61.0,124.5,2.0,2.0,2.0,2.0,0.0,0.33,0.66,1.0,65800.0,9663.63,0.19,0.16,0.18,0.04,4400.0,abemas
魚谷 侑未,7.0,91.0,6.8,2.42,1.0,3.0,2.0,1.0,0.14,0.57,0.85,40400.0,6455.0,0.2,0.25,0.21,0.09,4133.33,sega_summy
近藤 誠一,6.0,69.0,-140.9,3.0,0.0,2.0,2.0,2.0,0.0,0.33,0.66,34500.0,6644.44,0.18,0.27,0.13,0.11,4712.5,sega_summy
茅森 早香,7.0,104.0,-61.7,2.85,1.0,1.0,3.0,2.0,0.14,0.28,0.71,90000.0,7595.45,0.22,0.3,0.21,0.16,7205.88,sega_summy
東城 りお,4.0,52.0,40.4,2.25,2.0,0.0,1.0,1.0,0.5,0.5,0.75,38400.0,7966.66,0.07,0.19,0.11,0.05,4500.0,sega_summy
萩原 聖人,2.0,30.0,-82.6,3.5,0.0,0.0,1.0,1.0,0.0,0.0,0.5,22900.0,4000.0,0.06,0.23,0.06,0.1,3600.0,raiden
瀬戸熊 直樹,7.0,83.0,5.8,2.42,1.0,2.0,4.0,0.0,0.14,0.42,1.0,53900.0,6330.0,0.14,0.24,0.24,0.07,5866.66,raiden
黒沢 咲,7.0,93.0,93.8,2.42,2.0,1.0,3.0,1.0,0.28,0.42,0.85,112700.0,7119.04,0.07,0.29,0.22,0.03,5400.0,raiden
本田 朋広,8.0,102.0,55.6,2.37,3.0,2.0,0.0,3.0,0.37,0.62,0.62,63900.0,7286.95,0.23,0.26,0.22,0.1,6600.0,raiden
小林 剛,6.0,77.0,-94.8,3.0,1.0,0.0,3.0,2.0,0.16,0.16,0.66,50900.0,4150.0,0.28,0.14,0.23,0.1,6537.5,u-next
瑞原 明奈,4.0,40.0,109.3,2.0,2.0,1.0,0.0,1.0,0.5,0.75,0.75,73800.0,10077.77,0.15,0.2,0.22,0.07,3700.0,u-next
鈴木 優,7.0,95.0,-9.2,2.42,2.0,1.0,3.0,1.0,0.28,0.42,0.85,45000.0,6947.36,0.27,0.28,0.2,0.09,6433.33,u-next
仲林 圭,7.0,82.0,-52.1,2.57,1.0,3.0,1.0,2.0,0.14,0.57,0.71,44300.0,5275.0,0.37,0.13,0.19,0.09,5750.0,u-next
